wifi,bt
-58.34,-9.32
-59.53,-14.4
-68.75,-11.07
-76.02,-14.57
-59.61,-13.78
-61.94,-12.74
-27.96,0
-58.8,-22.73
-53.42,-11.5
-69.22,-19.41
-67.61,-15.46
-73.72,-10.87
