"rasp1","location"
-48.9605,1.1
-60.6850,1.2
-71.6366,1.3
-63.5540,1.4
-61.9503,1.5
-84.9149,10.1
-75.9291,10.2
-72.8920,10.3
-78.5695,10.4
-78.2903,10.5
-62.1749,2.1
-62.3288,2.2
-62.3544,2.3
-67.4570,2.4
-72.3680,2.5
-75.9615,3.1
-62.4960,3.2
-71.3338,3.3
-80.9272,3.4
-73.2584,3.5
-70.1513,4.1
-73.3190,4.2
-70.3881,4.3
-72.0093,4.4
-76.2161,4.5
-69.5442,5.1
-64.4779,5.2
-71.0854,5.3
-69.3755,5.4
-69.5061,5.5
-77.0089,6.1
-64.5389,6.2
-67.9139,6.3
-68.8421,6.4
-67.3077,6.5
-74.9113,7.1
-77.5818,7.2
-75.3060,7.3
-82.6118,7.4
-68.7396,7.5
-83.3545,8.1
-77.1002,8.2
-76.2652,8.3
-70.3397,8.4
-69.5807,8.5
-79.3353,9.1
-80.6494,9.2
-83.8227,9.3
-67.5388,9.4
-74.0613,9.5
