"rasp2","location"
-57.5898,1.1
-62.7948,1.2
-45.9241,1.3
-47.3501,1.4
-50.8282,1.5
-73.2000,10.1
-74.0177,10.2
-74.4805,10.3
-82.9890,10.4
-81.8899,10.5
-67.3403,2.1
-61.5096,2.2
-65.3279,2.3
-51.6242,2.4
-48.0496,2.5
-75.4378,3.1
-66.0323,3.2
-66.7177,3.3
-63.7419,3.4
-64.0364,3.5
-77.6345,4.1
-67.8638,4.2
-72.3622,4.3
-69.7229,4.4
-66.2042,4.5
-62.2257,5.1
-70.0010,5.2
-68.8081,5.3
-74.5945,5.4
-71.9529,5.5
-69.3493,6.1
-66.6788,6.2
-71.6433,6.3
-70.5000,6.4
-70.4000,6.5
-76.7778,7.1
-67.3216,7.2
-76.8687,7.3
-78.0210,7.4
-63.7470,7.5
-76.8066,8.1
-69.6609,8.2
-72.6943,8.3
-71.1820,8.4
-71.7374,8.5
-81.3012,9.1
-76.4576,9.2
-73.1687,9.3
-76.0193,9.4
-83.9580,9.5
