"rasp4","location"
-85.4426,1.1
-86.3666,1.2
-80.6321,1.3
-78.0938,1.4
-73.6315,1.5
-58.1905,10.1
-65.8361,10.2
-63.9296,10.3
-67.7944,10.4
-77.9213,10.5
-83.0443,2.1
-85.7562,2.2
-88.7362,2.3
-77.8405,2.4
-78.1106,2.5
-84.8178,3.1
-80.7537,3.2
-82.8383,3.3
-81.7821,3.4
-76.2424,3.5
-77.7803,4.1
-81.2322,4.2
-79.6397,4.3
-78.3200,4.4
-83.8432,4.5
-81.2603,5.1
-79.8255,5.2
-79.0209,5.3
-75.6279,5.4
-77.4628,5.5
-85.6940,6.1
-73.0114,6.2
-84.4742,6.3
-76.2000,6.4
-73.4667,6.5
-74.6870,7.1
-77.3936,7.2
-75.2689,7.3
-74.1170,7.4
-68.5821,7.5
-85.0524,8.1
-80.7637,8.2
-75.2351,8.3
-83.6196,8.4
-89.2592,8.5
-70.6275,9.1
-72.9472,9.2
-67.9849,9.3
-69.0236,9.4
-75.1549,9.5
