"rasp1","rasp2","rasp3","rasp4","rasp5","rasp6"
0.966792618804854,0.826661868489974,0.33025450328875,0,1,0.608408804654232
1,0.654101945006752,0.212803044314333,0,0.527219200259436,0.224500447171671
0.71787595367392,1,0.434667300592077,0,0.53624518055731,0.462109337275557
0.208933541924866,0.395670371198114,0.433142350176422,0,1,0.744251881048647
0.391506151818532,0.701863964177833,0.427590271695086,0,1,0.791550356502591
0,0.266038060224553,0.221541893136905,0.0262066290208115,1,0.203719622130826
0.412994343561712,1,0.369821622939802,0,0.702715804124263,0.233183843166178
0,0.649702985027045,0.0811167904671833,0.488060954486042,0.447980758672235,1
0.156973112815301,0.451712094613324,0.209450244848933,0,1,0.611575348794234
0.272007132508637,0.261138972472974,0,0.313112671347375,0.489227683049147,1
0.57474690929202,0.36331752851275,0.51467959829227,0,0.907740764971301,1
0,0.133187418387989,1,0.534907951800708,0.0156221456939308,0.735732698253757
0,0.263711397204012,0.916550825369244,0.42586288602796,0.266519232288129,1
0,0.0356567154555421,0.286342697071951,0.289133191480216,0.524838624168046,1
0,0.103692227015946,0.442766905823183,1,0.264653302505185,0.808652539746859
