"rasp3","location"
-87.3333,1.1
-83.1343,1.2
-89.6250,1.3
-75.6336,1.4
-90.0000,1.5
-83.0000,10.1
-67.1250,10.2
-63.4444,10.3
-59.7750,10.4
-56.0419,10.5
-76.6701,2.1
-76.4882,2.2
-75.0951,2.3
-67.7500,2.4
-87.8000,2.5
-91.6667,3.1
-80.4308,3.2
-68.5000,3.3
-71.2629,3.4
-79.4750,3.5
-76.9567,4.1
-76.6341,4.2
-68.2000,4.3
-75.9446,4.4
-75.5115,4.5
-87.4588,5.1
-73.0982,5.2
-68.3676,5.3
-79.2324,5.4
-86.0485,5.5
-80.5588,6.1
-79.4583,6.2
-79.0691,6.3
-77.0040,6.4
-68.2667,6.5
-64.7778,7.1
-72.6667,7.2
-65.1250,7.3
-66.6574,7.4
-75.4335,7.5
-70.5719,8.1
-65.8645,8.2
-76.5079,8.3
-58.9167,8.4
-82.5000,8.5
-75.6939,9.1
-68.0437,9.2
-70.3549,9.3
-62.6173,9.4
-66.2154,9.5
