"rasp4","location"
-91.8000,1.1
-85.3785,1.2
-81.5455,1.3
-89.6293,1.4
-85.0000,1.5
-61.9167,10.1
-58.7000,10.2
-76.6667,10.3
-76.6897,10.4
-78.8402,10.5
-87.6105,2.1
-79.2606,2.2
-90.6786,2.3
-79.8980,2.4
-84.2000,2.5
-91.3276,3.1
-73.0066,3.2
-76.6923,3.3
-77.9490,3.4
-85.0887,3.5
-82.7901,4.1
-87.3333,4.2
-81.6667,4.3
-85.9868,4.4
-85.0568,4.5
-82.5457,5.1
-88.0395,5.2
-72.4643,5.3
-83.3853,5.4
-81.1585,5.5
-1.0000,6.1
-80.8667,6.2
-86.9947,6.3
-83.5856,6.4
-81.2273,6.5
-60.5000,7.1
-72.7297,7.2
-72.0000,7.3
-77.3650,7.4
-85.1326,7.5
-72.0029,8.1
-71.0143,8.2
-70.2040,8.3
-69.9444,8.4
-82.4286,8.5
-63.2192,9.1
-62.1828,9.2
-70.9333,9.3
-78.7946,9.4
-81.0336,9.5
