"rasp1","location"
-50.5333,1.1
-72.0246,1.2
-73.2453,1.3
-63.2971,1.4
-68.8500,1.5
-83.0909,10.1
-64.8333,10.2
-73.0000,10.3
-79.1554,10.4
-79.3051,10.5
-65.4450,2.1
-61.0943,2.2
-54.2356,2.3
-67.2683,2.4
-78.2850,2.5
-65.5150,3.1
-56.0979,3.2
-67.8750,3.3
-68.7244,3.4
-79.2953,3.5
-75.2038,4.1
-66.3175,4.2
-71.7500,4.3
-82.6093,4.4
-67.5786,4.5
-72.8200,5.1
-65.9709,5.2
-68.9444,5.3
-73.6163,5.4
-70.0711,5.5
-88.8359,6.1
-71.9167,6.2
-69.6214,6.3
-68.8032,6.4
-70.2727,6.5
-71.8571,7.1
-73.7120,7.2
-59.7500,7.3
-66.4558,7.4
-77.1141,7.5
-85.8633,8.1
-65.7407,8.2
-71.1393,8.3
-64.0000,8.4
-76.7500,8.5
-83.8706,9.1
-69.4029,9.2
-82.9728,9.3
-74.4998,9.4
-81.1546,9.5
