"rasp2","location"
-0.9114,1.1
-0.0405,1.2
0.0000,1.3
0.4217,1.4
10.1481,1.5
-17.8136,10.1
-17.5325,10.2
-15.1447,10.3
-11.0860,10.4
-25.1474,10.5
-13.6023,2.1
-7.8438,2.2
-10.3176,2.3
-1.1882,2.4
-0.0833,2.5
-15.4824,3.1
-12.8298,3.2
-9.5125,3.3
-4.5765,3.4
-3.9024,3.5
-12.2727,4.1
-14.2432,4.2
-11.7333,4.3
-12.8276,4.4
-5.1556,4.5
-17.7857,5.1
-13.4674,5.2
-11.5357,5.3
-11.2955,5.4
-17.5610,5.5
-13.3958,6.1
-12.6203,6.2
-10.6714,6.3
-13.4658,6.4
-12.8690,6.5
-17.6456,7.1
-9.8372,7.2
-16.4333,7.3
-14.8372,7.4
-18.6923,7.5
-18.6471,8.1
-14.7273,8.2
-15.6471,8.3
-13.8916,8.4
-14.8750,8.5
-12.7619,9.1
-9.0000,9.2
-15.7765,9.3
-9.3247,9.4
-20.9136,9.5
