mac address, rasp, RX, timestamp
98:01:A7:B6:B2:BE,1,-67,10:53:00
88:C9:D0:1F:3E:48,1,-52,10:52:56
88:C9:D0:1F:3E:48,1,-54,10:53:15
88:C9:D0:1F:3E:48,1,-69,10:53:28
88:C9:D0:1F:3E:48,1,-55,10:53:42
88:C9:D0:1F:3E:48,1,-51,10:54:29
88:C9:D0:1F:3E:48,1,-54,10:55:17
88:C9:D0:1F:3E:48,1,-56,10:56:09
88:C9:D0:1F:3E:48,1,-57,10:56:29
88:C9:D0:1F:3E:48,1,-57,10:56:47
88:C9:D0:1F:3E:48,1,-55,10:57:03
88:C9:D0:1F:3E:48,1,-56,10:57:35
88:C9:D0:1F:3E:48,1,-55,10:57:46
88:C9:D0:1F:3E:48,1,-55,10:58:19
88:C9:D0:1F:3E:48,1,-56,10:58:50
DC:A9:04:4F:D9:36,1,-49,10:54:41
DC:A9:04:4F:D9:36,1,-52,10:54:55
DC:A9:04:4F:D9:36,1,-44,10:55:11
DC:A9:04:4F:D9:36,1,-46,10:55:16
DC:A9:04:4F:D9:36,1,-51,10:55:29
DC:A9:04:4F:D9:36,1,-44,10:55:50
DC:A9:04:4F:D9:36,1,-45,10:56:07
DC:A9:04:4F:D9:36,1,-51,10:56:32
DC:A9:04:4F:D9:36,1,-49,10:56:44
DC:A9:04:4F:D9:36,1,-51,10:56:58
DC:A9:04:4F:D9:36,1,-50,10:57:34
DC:A9:04:4F:D9:36,1,-43,10:57:51
DC:A9:04:4F:D9:36,1,-52,10:58:07
DC:A9:04:4F:D9:36,1,-44,10:58:19
DC:A9:04:4F:D9:36,1,-47,10:58:35
DC:A9:04:4F:D9:36,1,-51,10:58:50
