mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-98,12:13:23
88:C9:D0:1F:3E:48,1,-98,12:14:06
88:C9:D0:1F:3E:48,1,-97,12:14:22
88:C9:D0:1F:3E:48,1,-97,12:17:04
88:C9:D0:1F:3E:48,1,-96,12:17:49
88:C9:D0:1F:3E:48,1,-95,12:18:05
DC:A9:04:4F:D9:36,1,-85,12:13:04
DC:A9:04:4F:D9:36,1,-83,12:13:19
DC:A9:04:4F:D9:36,1,-84,12:13:31
DC:A9:04:4F:D9:36,1,-88,12:13:46
DC:A9:04:4F:D9:36,1,-86,12:14:01
DC:A9:04:4F:D9:36,1,-83,12:14:32
DC:A9:04:4F:D9:36,1,-86,12:14:52
DC:A9:04:4F:D9:36,1,-84,12:15:08
DC:A9:04:4F:D9:36,1,-85,12:15:20
DC:A9:04:4F:D9:36,1,-86,12:15:36
DC:A9:04:4F:D9:36,1,-89,12:15:49
DC:A9:04:4F:D9:36,1,-87,12:16:02
DC:A9:04:4F:D9:36,1,-89,12:16:21
DC:A9:04:4F:D9:36,1,-90,12:16:30
DC:A9:04:4F:D9:36,1,-89,12:16:50
DC:A9:04:4F:D9:36,1,-89,12:17:13
DC:A9:04:4F:D9:36,1,-87,12:17:17
DC:A9:04:4F:D9:36,1,-83,12:17:31
DC:A9:04:4F:D9:36,1,-86,12:17:36
DC:A9:04:4F:D9:36,1,-85,12:18:05
DC:A9:04:4F:D9:36,1,-87,12:18:21
DC:A9:04:4F:D9:36,1,-85,12:18:36
