mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-78,11:16:17
88:C9:D0:1F:3E:48,1,-86,11:17:09
88:C9:D0:1F:3E:48,1,-79,11:17:24
88:C9:D0:1F:3E:48,1,-74,11:18:00
88:C9:D0:1F:3E:48,1,-75,11:19:45
88:C9:D0:1F:3E:48,1,-75,11:20:00
88:C9:D0:1F:3E:48,1,-72,11:20:14
88:C9:D0:1F:3E:48,1,-74,11:20:39
88:C9:D0:1F:3E:48,1,-73,11:20:49
88:C9:D0:1F:3E:48,1,-80,11:21:38
DC:A9:04:4F:D9:36,1,-60,11:15:45
DC:A9:04:4F:D9:36,1,-60,11:16:00
DC:A9:04:4F:D9:36,1,-64,11:16:17
DC:A9:04:4F:D9:36,1,-60,11:16:32
DC:A9:04:4F:D9:36,1,-59,11:16:51
DC:A9:04:4F:D9:36,1,-60,11:17:12
DC:A9:04:4F:D9:36,1,-61,11:17:22
DC:A9:04:4F:D9:36,1,-60,11:17:39
DC:A9:04:4F:D9:36,1,-59,11:17:52
DC:A9:04:4F:D9:36,1,-60,11:18:10
DC:A9:04:4F:D9:36,1,-59,11:18:26
DC:A9:04:4F:D9:36,1,-59,11:18:47
DC:A9:04:4F:D9:36,1,-60,11:19:05
DC:A9:04:4F:D9:36,1,-59,11:19:06
DC:A9:04:4F:D9:36,1,-60,11:19:16
DC:A9:04:4F:D9:36,1,-62,11:19:31
DC:A9:04:4F:D9:36,1,-61,11:19:45
DC:A9:04:4F:D9:36,1,-60,11:19:59
DC:A9:04:4F:D9:36,1,-62,11:20:14
DC:A9:04:4F:D9:36,1,-62,11:20:35
DC:A9:04:4F:D9:36,1,-62,11:20:39
DC:A9:04:4F:D9:36,1,-61,11:20:47
DC:A9:04:4F:D9:36,1,-64,11:21:06
DC:A9:04:4F:D9:36,1,-59,11:21:20
DC:A9:04:4F:D9:36,1,-65,11:21:39
