mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-79,11:24:28
88:C9:D0:1F:3E:48,1,-83,11:24:45
88:C9:D0:1F:3E:48,1,-90,11:25:39
88:C9:D0:1F:3E:48,1,-79,11:26:09
88:C9:D0:1F:3E:48,1,-90,11:27:18
88:C9:D0:1F:3E:48,1,-77,11:28:10
88:C9:D0:1F:3E:48,1,-79,11:28:27
88:C9:D0:1F:3E:48,1,-78,11:29:09
88:C9:D0:1F:3E:48,1,-79,11:29:35
88:C9:D0:1F:3E:48,1,-81,11:30:25
DC:A9:04:4F:D9:36,1,-74,11:24:35
DC:A9:04:4F:D9:36,1,-64,11:24:42
DC:A9:04:4F:D9:36,1,-65,11:25:02
DC:A9:04:4F:D9:36,1,-69,11:25:17
DC:A9:04:4F:D9:36,1,-65,11:25:33
DC:A9:04:4F:D9:36,1,-62,11:25:51
DC:A9:04:4F:D9:36,1,-62,11:26:11
DC:A9:04:4F:D9:36,1,-68,11:26:27
DC:A9:04:4F:D9:36,1,-63,11:26:44
DC:A9:04:4F:D9:36,1,-64,11:27:04
DC:A9:04:4F:D9:36,1,-71,11:27:24
DC:A9:04:4F:D9:36,1,-66,11:27:36
DC:A9:04:4F:D9:36,1,-71,11:27:57
DC:A9:04:4F:D9:36,1,-62,11:28:09
DC:A9:04:4F:D9:36,1,-71,11:28:25
DC:A9:04:4F:D9:36,1,-73,11:28:47
DC:A9:04:4F:D9:36,1,-71,11:29:05
DC:A9:04:4F:D9:36,1,-65,11:29:10
DC:A9:04:4F:D9:36,1,-70,11:29:18
DC:A9:04:4F:D9:36,1,-62,11:29:37
DC:A9:04:4F:D9:36,1,-73,11:29:53
DC:A9:04:4F:D9:36,1,-62,11:30:10
