mac address, rasp, RX, timestamp, SN
A0:CB:FD:EF:17:78,1,-89,11:29:47.069,1464
66:1E:D9:A9:FD:D0,1,-60,11:25:25.904,3064
66:1E:D9:A9:FD:D0,1,-61,11:25:37.841,3110
F4:E3:FB:85:66:D8,1,-54,11:24:34.575,316
F4:E3:FB:85:66:D8,1,-55,11:24:34.683,317
F4:E3:FB:85:66:D8,1,-56,11:24:37.217,324
F4:E3:FB:85:66:D8,1,-58,11:25:11.478,328
F4:E3:FB:85:66:D8,1,-55,11:26:06.527,329
F4:E3:FB:85:66:D8,1,-67,11:26:38.902,337
F4:E3:FB:85:66:D8,1,-70,11:26:40.420,694
36:8B:F4:4C:E2:65,1,-64,11:29:55.458,4047
20:6E:9C:F4:FF:DD,1,-73,11:25:02.267,2352
20:6E:9C:F4:FF:DD,1,-73,11:25:29.239,2384
20:6E:9C:F4:FF:DD,1,-70,11:25:29.344,2388
20:6E:9C:F4:FF:DD,1,-69,11:25:29.451,2391
20:6E:9C:F4:FF:DD,1,-69,11:25:40.453,2426
20:6E:9C:F4:FF:DD,1,-71,11:25:40.554,2430
20:6E:9C:F4:FF:DD,1,-71,11:25:40.657,2432
20:6E:9C:F4:FF:DD,1,-64,11:25:59.539,2466
20:6E:9C:F4:FF:DD,1,-67,11:25:59.642,2470
20:6E:9C:F4:FF:DD,1,-59,11:26:34.670,2508
20:6E:9C:F4:FF:DD,1,-63,11:26:34.786,2509
20:6E:9C:F4:FF:DD,1,-63,11:26:34.895,2512
20:6E:9C:F4:FF:DD,1,-56,11:27:29.310,2542
20:6E:9C:F4:FF:DD,1,-55,11:27:29.430,2546
20:6E:9C:F4:FF:DD,1,-58,11:27:29.538,2548
20:6E:9C:F4:FF:DD,1,-59,11:27:40.406,2582
20:6E:9C:F4:FF:DD,1,-58,11:27:40.511,2586
20:6E:9C:F4:FF:DD,1,-73,11:27:40.715,2592
20:6E:9C:F4:FF:DD,1,-63,11:27:59.497,2625
20:6E:9C:F4:FF:DD,1,-71,11:27:59.603,2626
20:6E:9C:F4:FF:DD,1,-75,11:27:59.706,2631
20:6E:9C:F4:FF:DD,1,-73,11:28:34.436,2661
20:6E:9C:F4:FF:DD,1,-60,11:28:34.543,2665
20:6E:9C:F4:FF:DD,1,-63,11:28:34.657,2668
20:6E:9C:F4:FF:DD,1,-62,11:29:29.730,2702
20:6E:9C:F4:FF:DD,1,-54,11:29:29.834,2706
20:6E:9C:F4:FF:DD,1,-55,11:29:30.054,2712
20:6E:9C:F4:FF:DD,1,-73,11:29:40.933,2742
20:6E:9C:F4:FF:DD,1,-64,11:29:41.037,2746
20:6E:9C:F4:FF:DD,1,-69,11:29:41.144,2749
20:6E:9C:F4:FF:DD,1,-67,11:29:41.248,2753
20:6E:9C:F4:FF:DD,1,-60,11:30:00.268,2791
20:6E:9C:F4:FF:DD,1,-63,11:30:00.385,2795
DC:A9:04:4F:D9:35,1,-63,11:24:37.665,2389
DC:A9:04:4F:D9:35,1,-62,11:24:37.783,2390
DC:A9:04:4F:D9:35,1,-64,11:24:37.899,2394
