mac address, timestamp, rasp, echo_time, rssi, lq, tpl
88:C9:D0:1F:3E:48,11:17:41.474,1,161.12,-12,12,255
88:C9:D0:1F:3E:48,11:17:39.188,1,138.59,-13,12,255
88:C9:D0:1F:3E:48,11:21:43.735,1,56.12,-12,12,255
88:C9:D0:1F:3E:48,11:18:11.951,1,146.13,-12,12,255
88:C9:D0:1F:3E:48,11:16:42.382,1,24.78,-14,12,255
88:C9:D0:1F:3E:48,11:19:58.303,1,61.18,-14,12,255
88:C9:D0:1F:3E:48,11:19:04.784,1,133.68,-12,12,255
88:C9:D0:1F:3E:48,11:16:59.489,1,18.60,-12,12,255
88:C9:D0:1F:3E:48,11:18:55.016,1,26.12,-15,12,255
88:C9:D0:1F:3E:48,11:20:50.391,1,189.81,-15,12,255
88:C9:D0:1F:3E:48,11:19:30.425,1,193.57,-13,12,255
88:C9:D0:1F:3E:48,11:20:56.338,1,203.56,-13,12,255
88:C9:D0:1F:3E:48,11:18:53.990,1,46.09,-13,12,255
88:C9:D0:1F:3E:48,11:19:43.845,1,88.72,-12,12,255
88:C9:D0:1F:3E:48,11:17:33.602,1,36.12,-11,12,255
88:C9:D0:1F:3E:48,11:17:10.549,1,134.87,-11,12,255
88:C9:D0:1F:3E:48,11:18:35.492,1,136.69,-14,12,255
88:C9:D0:1F:3E:48,11:18:32.264,1,136.13,-13,12,255
88:C9:D0:1F:3E:48,11:18:59.142,1,47.38,-11,12,255
88:C9:D0:1F:3E:48,11:18:16.676,1,134.86,-13,12,255
88:C9:D0:1F:3E:48,11:18:08.649,1,29.87,-14,12,255
88:C9:D0:1F:3E:48,11:20:22.003,1,134.86,-13,12,255
88:C9:D0:1F:3E:48,11:19:40.694,1,106.15,-12,12,255
88:C9:D0:1F:3E:48,11:18:50.608,1,121.08,-13,12,255
88:C9:D0:1F:3E:48,11:17:51.301,1,181.09,-11,12,255
88:C9:D0:1F:3E:48,11:18:06.688,1,32.05,-12,12,255
88:C9:D0:1F:3E:48,11:20:16.162,1,161.08,-14,12,255
88:C9:D0:1F:3E:48,11:20:08.709,1,237.28,-12,12,255
88:C9:D0:1F:3E:48,11:20:32.930,1,129.93,-15,12,255
88:C9:D0:1F:3E:48,11:21:13.805,1,137.30,-15,12,255
88:C9:D0:1F:3E:48,11:16:49.872,1,139.36,-15,12,255
88:C9:D0:1F:3E:48,11:17:45.948,1,126.08,-12,12,255
88:C9:D0:1F:3E:48,11:18:56.030,1,13.57,-11,12,255
88:C9:D0:1F:3E:48,11:19:38.519,1,96.12,-14,12,255
88:C9:D0:1F:3E:48,11:16:54.299,1,128.65,-15,12,255
88:C9:D0:1F:3E:48,11:17:17.050,1,57.38,-12,12,255
88:C9:D0:1F:3E:48,11:17:32.565,1,11.15,-13,12,255
88:C9:D0:1F:3E:48,11:21:38.026,1,136.04,-16,12,255
88:C9:D0:1F:3E:48,11:21:09.341,1,148.52,-14,12,255
88:C9:D0:1F:3E:48,11:17:04.803,1,98.67,-13,12,255
88:C9:D0:1F:3E:48,11:21:15.937,1,118.66,-14,12,255
88:C9:D0:1F:3E:48,11:21:30.210,1,43.65,-12,12,255
88:C9:D0:1F:3E:48,11:18:02.437,1,109.85,-12,12,255
88:C9:D0:1F:3E:48,11:20:45.863,1,31.16,-16,12,255
88:C9:D0:1F:3E:48,11:20:03.129,1,134.70,-13,12,255
88:C9:D0:1F:3E:48,11:16:12.546,1,8.60,-15,12,82
88:C9:D0:1F:3E:48,11:20:35.212,1,131.12,-15,12,255
88:C9:D0:1F:3E:48,11:20:53.924,1,136.08,-13,12,255
88:C9:D0:1F:3E:48,11:16:43.170,1,7.25,-13,12,255
88:C9:D0:1F:3E:48,11:16:04.232,1,102.41,-14,12,255
88:C9:D0:1F:3E:48,11:20:40.813,1,59.76,-12,12,255
88:C9:D0:1F:3E:48,11:21:04.776,1,180.21,-13,12,255
88:C9:D0:1F:3E:48,11:20:01.771,1,147.48,-13,12,255
88:C9:D0:1F:3E:48,11:16:17.995,1,33.56,-11,12,84
88:C9:D0:1F:3E:48,11:19:19.343,1,141.09,-12,12,255
88:C9:D0:1F:3E:48,11:19:39.588,1,68.63,-14,12,255
88:C9:D0:1F:3E:48,11:21:33.385,1,31.08,-11,12,255
88:C9:D0:1F:3E:48,11:19:26.081,1,18.54,-13,12,255
88:C9:D0:1F:3E:48,11:18:18.954,1,136.28,-13,12,255
88:C9:D0:1F:3E:48,11:20:44.832,1,7.32,-16,12,255
88:C9:D0:1F:3E:48,11:17:55.832,1,127.40,-13,12,255
88:C9:D0:1F:3E:48,11:18:47.234,1,42.34,-15,12,255
88:C9:D0:1F:3E:48,11:17:11.763,1,213.70,-12,12,255
88:C9:D0:1F:3E:48,11:21:05.925,1,148.65,-13,12,255
88:C9:D0:1F:3E:48,11:18:28.893,1,154.92,-13,12,255
88:C9:D0:1F:3E:48,11:21:21.281,1,158.54,-14,12,255
88:C9:D0:1F:3E:48,11:21:14.818,1,13.56,-13,12,255
88:C9:D0:1F:3E:48,11:20:39.776,1,129.88,-13,12,255
88:C9:D0:1F:3E:48,11:18:37.537,1,36.12,-12,12,255
88:C9:D0:1F:3E:48,11:17:23.769,1,139.92,-12,12,255
88:C9:D0:1F:3E:48,11:16:47.535,1,187.34,-14,12,255
88:C9:D0:1F:3E:48,11:16:46.348,1,106.09,-14,12,255
88:C9:D0:1F:3E:48,11:16:13.611,1,64.90,-17,12,82
88:C9:D0:1F:3E:48,11:20:18.431,1,133.67,-16,12,255
88:C9:D0:1F:3E:48,11:20:28.298,1,24.78,-13,12,255
88:C9:D0:1F:3E:48,11:19:57.242,1,9.85,-14,12,255
88:C9:D0:1F:3E:48,11:21:07.053,1,127.32,-15,12,255
88:C9:D0:1F:3E:48,11:17:30.498,1,49.82,-13,12,255
88:C9:D0:1F:3E:48,11:20:31.770,1,132.28,-14,12,255
88:C9:D0:1F:3E:48,11:16:00.613,1,51.08,-17,12,255
88:C9:D0:1F:3E:48,11:19:54.358,1,22.37,-12,12,255
88:C9:D0:1F:3E:48,11:19:33.993,1,142.38,-13,12,255
88:C9:D0:1F:3E:48,11:18:45.063,1,129.86,-13,12,255
88:C9:D0:1F:3E:48,11:17:03.704,1,109.90,-12,12,255
88:C9:D0:1F:3E:48,11:19:10.541,1,169.86,-13,12,255
88:C9:D0:1F:3E:48,11:16:10.459,1,68.58,-12,12,255
88:C9:D0:1F:3E:48,11:20:37.504,1,144.79,-13,12,255
88:C9:D0:1F:3E:48,11:17:15.993,1,12.36,-14,12,255
88:C9:D0:1F:3E:48,11:21:22.361,1,79.84,-14,12,255
88:C9:D0:1F:3E:48,11:16:14.620,1,8.64,-18,12,82
88:C9:D0:1F:3E:48,11:20:20.819,1,140.95,-14,12,255
88:C9:D0:1F:3E:48,11:21:42.679,1,123.63,-13,12,255
88:C9:D0:1F:3E:48,11:19:32.850,1,201.15,-12,12,255
88:C9:D0:1F:3E:48,11:16:58.471,1,9.84,-16,12,255
88:C9:D0:1F:3E:48,11:18:23.162,1,92.34,-13,12,255
88:C9:D0:1F:3E:48,11:19:42.756,1,43.64,-14,12,255
88:C9:D0:1F:3E:48,11:20:55.135,1,211.10,-14,12,255
88:C9:D0:1F:3E:48,11:17:47.010,1,61.10,-14,12,255
88:C9:D0:1F:3E:48,11:19:55.180,1,52.27,-13,12,255
88:C9:D0:1F:3E:48,11:21:35.754,1,141.07,-14,12,255
88:C9:D0:1F:3E:48,11:21:25.754,1,139.91,-13,12,255
88:C9:D0:1F:3E:48,11:17:21.415,1,131.13,-13,12,255
88:C9:D0:1F:3E:48,11:20:07.583,1,153.61,-12,12,255
88:C9:D0:1F:3E:48,11:19:08.217,1,174.87,-12,12,255
88:C9:D0:1F:3E:48,11:21:08.193,1,139.85,-13,12,255
88:C9:D0:1F:3E:48,11:19:49.597,1,148.60,-14,12,255
88:C9:D0:1F:3E:48,11:20:51.606,1,214.92,-15,12,255
88:C9:D0:1F:3E:48,11:17:24.909,1,139.88,-12,12,255
88:C9:D0:1F:3E:48,11:20:38.652,1,142.33,-15,12,255
88:C9:D0:1F:3E:48,11:17:43.704,1,121.14,-11,12,255
88:C9:D0:1F:3E:48,11:17:27.178,1,126.11,-12,12,255
88:C9:D0:1F:3E:48,11:15:59.561,1,553.89,-19,12,255
