mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-94,11:52:54
88:C9:D0:1F:3E:48,1,-90,11:54:49
88:C9:D0:1F:3E:48,1,-93,11:55:05
88:C9:D0:1F:3E:48,1,-89,11:55:17
88:C9:D0:1F:3E:48,1,-93,11:55:38
88:C9:D0:1F:3E:48,1,-95,11:56:01
DC:A9:04:4F:D9:36,1,-86,11:52:13
DC:A9:04:4F:D9:36,1,-75,11:52:45
DC:A9:04:4F:D9:36,1,-90,11:52:53
DC:A9:04:4F:D9:36,1,-79,11:52:55
DC:A9:04:4F:D9:36,1,-80,11:53:08
DC:A9:04:4F:D9:36,1,-96,11:53:23
DC:A9:04:4F:D9:36,1,-99,11:53:36
DC:A9:04:4F:D9:36,1,-79,11:53:37
DC:A9:04:4F:D9:36,1,-75,11:53:54
DC:A9:04:4F:D9:36,1,-90,11:54:09
DC:A9:04:4F:D9:36,1,-96,11:54:30
DC:A9:04:4F:D9:36,1,-97,11:54:42
DC:A9:04:4F:D9:36,1,-85,11:54:59
DC:A9:04:4F:D9:36,1,-75,11:55:13
DC:A9:04:4F:D9:36,1,-89,11:55:26
DC:A9:04:4F:D9:36,1,-97,11:55:48
DC:A9:04:4F:D9:36,1,-77,11:55:57
DC:A9:04:4F:D9:36,1,-89,11:56:21
DC:A9:04:4F:D9:36,1,-75,11:56:28
DC:A9:04:4F:D9:36,1,-86,11:56:41
DC:A9:04:4F:D9:36,1,-78,11:57:05
DC:A9:04:4F:D9:36,1,-77,11:57:14
DC:A9:04:4F:D9:36,1,-78,11:57:29
DC:A9:04:4F:D9:36,1,-83,11:57:48
