mac address, rasp, RX, timestamp, SN
A0:CB:FD:EF:17:78,1,-89,12:05:01.701,1965
A0:CB:FD:EF:17:78,1,-87,12:05:58.910,1998
A0:CB:FD:EF:17:78,1,-91,12:07:00.433,2028
DA:A1:19:DD:B3:9E,1,-90,12:08:20.270,542
F4:E3:FB:85:66:D8,1,-1,12:07:04.264,0
8A:F2:4C:C9:21:23,1,-62,12:05:45.724,3103
8A:F2:4C:C9:21:23,1,-68,12:05:46.176,3113
8A:F2:4C:C9:21:23,1,-74,12:06:01.545,3169
8A:F2:4C:C9:21:23,1,-73,12:06:16.728,3230
8A:F2:4C:C9:21:23,1,-68,12:06:17.067,3239
8A:F2:4C:C9:21:23,1,-81,12:06:20.740,3255
8A:F2:4C:C9:21:23,1,-79,12:06:20.854,3256
8A:F2:4C:C9:21:23,1,-75,12:06:41.457,3296
8A:F2:4C:C9:21:23,1,-73,12:06:51.260,3314
8A:F2:4C:C9:21:23,1,-68,12:07:03.243,3359
8A:F2:4C:C9:21:23,1,-68,12:07:03.357,3361
8A:F2:4C:C9:21:23,1,-61,12:07:12.632,3377
8A:F2:4C:C9:21:23,1,-62,12:07:12.966,3387
8A:F2:4C:C9:21:23,1,-75,12:07:24.458,3422
8A:F2:4C:C9:21:23,1,-77,12:07:24.571,3424
8A:F2:4C:C9:21:23,1,-73,12:07:37.348,3443
8A:F2:4C:C9:21:23,1,-75,12:07:37.460,3445
8A:F2:4C:C9:21:23,1,-68,12:07:55.294,3465
8A:F2:4C:C9:21:23,1,-72,12:07:58.450,3482
8A:F2:4C:C9:21:23,1,-67,12:07:58.881,3492
8A:F2:4C:C9:21:23,1,-64,12:08:02.632,3508
8A:F2:4C:C9:21:23,1,-77,12:08:35.162,3592
8A:F2:4C:C9:21:23,1,-76,12:08:48.046,3612
8A:F2:4C:C9:21:23,1,-56,12:10:08.574,3718
8A:F2:4C:C9:21:23,1,-66,12:10:24.612,3756
8A:F2:4C:C9:21:23,1,-62,12:10:28.568,3780
8A:F2:4C:C9:21:23,1,-61,12:10:28.672,3781
8A:F2:4C:C9:21:23,1,-63,12:10:36.614,3803
8A:F2:4C:C9:21:23,1,-64,12:10:49.519,3824
20:6E:9C:F4:FF:DD,1,-77,12:05:01.700,1238
20:6E:9C:F4:FF:DD,1,-69,12:05:37.010,1282
20:6E:9C:F4:FF:DD,1,-67,12:05:37.126,1285
20:6E:9C:F4:FF:DD,1,-55,12:06:31.253,1317
20:6E:9C:F4:FF:DD,1,-67,12:06:31.388,1318
20:6E:9C:F4:FF:DD,1,-52,12:06:42.220,1350
20:6E:9C:F4:FF:DD,1,-52,12:06:42.325,1351
20:6E:9C:F4:FF:DD,1,-53,12:06:42.453,1356
20:6E:9C:F4:FF:DD,1,-61,12:07:01.333,1389
20:6E:9C:F4:FF:DD,1,-60,12:07:01.443,1393
20:6E:9C:F4:FF:DD,1,-63,12:07:01.556,1396
20:6E:9C:F4:FF:DD,1,-72,12:07:01.662,1397
20:6E:9C:F4:FF:DD,1,-79,12:07:36.388,1428
20:6E:9C:F4:FF:DD,1,-78,12:07:36.493,1432
20:6E:9C:F4:FF:DD,1,-80,12:07:36.599,1435
20:6E:9C:F4:FF:DD,1,-80,12:07:55.634,1479
20:6E:9C:F4:FF:DD,1,-78,12:07:55.746,1483
