mac address, timestamp, rasp, echo_time, rssi, lq, tpl
88:C9:D0:1F:3E:48,11:27:31.353,1,92.32,-18,12,87
88:C9:D0:1F:3E:48,11:26:52.854,1,48.56,-18,12,59
88:C9:D0:1F:3E:48,11:28:30.516,1,218.50,-19,12,84
88:C9:D0:1F:3E:48,11:25:16.246,1,14.78,-19,12,255
88:C9:D0:1F:3E:48,11:25:13.191,1,22.37,-19,12,255
88:C9:D0:1F:3E:48,11:26:17.592,1,117.33,-19,12,94
88:C9:D0:1F:3E:48,11:29:20.814,1,127.86,-16,12,59
88:C9:D0:1F:3E:48,11:27:16.835,1,82.32,-18,12,70
88:C9:D0:1F:3E:48,11:28:51.634,1,123.57,-21,12,62
88:C9:D0:1F:3E:48,11:29:48.026,1,109.81,-17,12,255
88:C9:D0:1F:3E:48,11:27:06.083,1,143.62,-21,12,70
88:C9:D0:1F:3E:48,11:25:19.786,1,147.30,-17,12,255
88:C9:D0:1F:3E:48,11:25:42.439,1,133.78,-17,12,87
88:C9:D0:1F:3E:48,11:27:51.719,1,334.89,-22,12,255
88:C9:D0:1F:3E:48,11:27:39.433,1,171.36,-19,12,255
88:C9:D0:1F:3E:48,11:24:55.590,1,46.11,-18,12,255
88:C9:D0:1F:3E:48,11:25:56.793,1,212.35,-22,12,94
88:C9:D0:1F:3E:48,11:26:41.652,1,144.84,-21,12,87
88:C9:D0:1F:3E:48,11:29:18.552,1,126.07,-18,12,59
88:C9:D0:1F:3E:48,11:27:27.047,1,132.37,-17,12,57
88:C9:D0:1F:3E:48,11:25:52.307,1,157.37,-19,12,84
88:C9:D0:1F:3E:48,11:29:28.289,1,67.32,-15,12,255
88:C9:D0:1F:3E:48,11:27:53.875,1,146.04,-18,12,95
88:C9:D0:1F:3E:48,11:26:09.705,1,187.41,-20,12,82
88:C9:D0:1F:3E:48,11:28:14.981,1,136.08,-18,12,255
88:C9:D0:1F:3E:48,11:26:00.343,1,41.84,-18,12,255
88:C9:D0:1F:3E:48,11:25:05.677,1,261.04,-20,12,95
88:C9:D0:1F:3E:48,11:30:09.205,1,84.85,-21,12,62
88:C9:D0:1F:3E:48,11:29:00.902,1,107.37,-17,12,87
88:C9:D0:1F:3E:48,11:27:30.261,1,73.58,-20,12,87
88:C9:D0:1F:3E:48,11:27:49.428,1,52.37,-19,12,255
88:C9:D0:1F:3E:48,11:27:02.642,1,197.32,-22,12,62
88:C9:D0:1F:3E:48,11:28:49.150,1,146.12,-22,12,62
88:C9:D0:1F:3E:48,11:28:55.659,1,9.81,-21,12,57
88:C9:D0:1F:3E:48,11:26:08.518,1,142.41,-16,12,82
88:C9:D0:1F:3E:48,11:25:29.913,1,8.58,-19,12,255
88:C9:D0:1F:3E:48,11:25:59.278,1,144.87,-21,12,255
88:C9:D0:1F:3E:48,11:27:03.764,1,128.55,-19,12,70
88:C9:D0:1F:3E:48,11:28:54.649,1,49.81,-19,12,57
88:C9:D0:1F:3E:48,11:27:36.945,1,161.05,-22,12,95
88:C9:D0:1F:3E:48,11:24:45.548,1,129.77,-23,12,255
88:C9:D0:1F:3E:48,11:28:05.901,1,114.81,-17,12,95
88:C9:D0:1F:3E:48,11:24:44.418,1,22.31,-20,12,255
88:C9:D0:1F:3E:48,11:28:18.277,1,26.04,-19,12,255
88:C9:D0:1F:3E:48,11:28:04.786,1,21.10,-16,12,95
88:C9:D0:1F:3E:48,11:25:43.455,1,15.99,-20,12,70
88:C9:D0:1F:3E:48,11:29:52.606,1,146.03,-19,12,255
88:C9:D0:1F:3E:48,11:27:28.118,1,69.82,-20,12,57
88:C9:D0:1F:3E:48,11:30:00.680,1,31.06,-25,12,84
88:C9:D0:1F:3E:48,11:27:00.268,1,18.54,-23,12,62
88:C9:D0:1F:3E:48,11:25:36.662,1,142.35,-16,12,95
88:C9:D0:1F:3E:48,11:29:01.950,1,47.43,-23,12,87
88:C9:D0:1F:3E:48,11:29:40.301,1,186.18,-22,12,255
88:C9:D0:1F:3E:48,11:27:19.174,1,201.11,-17,12,49
88:C9:D0:1F:3E:48,11:29:58.392,1,139.73,-18,12,84
88:C9:D0:1F:3E:48,11:29:50.267,1,202.35,-19,12,255
88:C9:D0:1F:3E:48,11:25:33.210,1,269.78,-19,12,255
