mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-86,11:08:05
88:C9:D0:1F:3E:48,1,-86,11:08:23
88:C9:D0:1F:3E:48,1,-87,11:09:12
88:C9:D0:1F:3E:48,1,-91,11:10:49
88:C9:D0:1F:3E:48,1,-95,11:12:21
88:C9:D0:1F:3E:48,1,-87,11:13:35
88:C9:D0:1F:3E:48,1,-89,11:13:51
88:C9:D0:1F:3E:48,1,-75,11:14:01
DC:A9:04:4F:D9:36,1,-59,11:08:28
DC:A9:04:4F:D9:36,1,-61,11:08:38
DC:A9:04:4F:D9:36,1,-65,11:08:53
DC:A9:04:4F:D9:36,1,-57,11:09:07
DC:A9:04:4F:D9:36,1,-58,11:09:27
DC:A9:04:4F:D9:36,1,-67,11:09:36
DC:A9:04:4F:D9:36,1,-63,11:09:39
DC:A9:04:4F:D9:36,1,-56,11:09:57
DC:A9:04:4F:D9:36,1,-62,11:10:14
DC:A9:04:4F:D9:36,1,-65,11:10:45
DC:A9:04:4F:D9:36,1,-65,11:11:04
DC:A9:04:4F:D9:36,1,-57,11:11:23
DC:A9:04:4F:D9:36,1,-66,11:11:30
DC:A9:04:4F:D9:36,1,-58,11:11:51
DC:A9:04:4F:D9:36,1,-68,11:12:02
DC:A9:04:4F:D9:36,1,-61,11:12:23
DC:A9:04:4F:D9:36,1,-70,11:12:34
DC:A9:04:4F:D9:36,1,-59,11:12:56
DC:A9:04:4F:D9:36,1,-64,11:13:10
DC:A9:04:4F:D9:36,1,-67,11:13:27
DC:A9:04:4F:D9:36,1,-60,11:13:51
DC:A9:04:4F:D9:36,1,-59,11:14:02
