mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-75,11:38:03
88:C9:D0:1F:3E:48,1,-79,11:39:05
88:C9:D0:1F:3E:48,1,-80,11:39:20
88:C9:D0:1F:3E:48,1,-83,11:40:23
88:C9:D0:1F:3E:48,1,-79,11:40:42
88:C9:D0:1F:3E:48,1,-76,11:40:47
88:C9:D0:1F:3E:48,1,-79,11:41:18
88:C9:D0:1F:3E:48,1,-79,11:41:38
88:C9:D0:1F:3E:48,1,-84,11:42:50
88:C9:D0:1F:3E:48,1,-76,11:43:08
88:C9:D0:1F:3E:48,1,-79,11:43:26
DC:A9:04:4F:D9:36,1,-74,11:38:02
DC:A9:04:4F:D9:36,1,-75,11:38:19
DC:A9:04:4F:D9:36,1,-73,11:38:35
DC:A9:04:4F:D9:36,1,-68,11:38:47
DC:A9:04:4F:D9:36,1,-71,11:39:18
DC:A9:04:4F:D9:36,1,-76,11:39:41
DC:A9:04:4F:D9:36,1,-74,11:39:53
DC:A9:04:4F:D9:36,1,-69,11:40:07
DC:A9:04:4F:D9:36,1,-69,11:40:41
DC:A9:04:4F:D9:36,1,-80,11:41:03
DC:A9:04:4F:D9:36,1,-68,11:41:20
DC:A9:04:4F:D9:36,1,-71,11:41:33
DC:A9:04:4F:D9:36,1,-75,11:41:48
DC:A9:04:4F:D9:36,1,-80,11:42:01
DC:A9:04:4F:D9:36,1,-76,11:42:22
DC:A9:04:4F:D9:36,1,-83,11:42:34
DC:A9:04:4F:D9:36,1,-74,11:42:48
DC:A9:04:4F:D9:36,1,-73,11:43:14
DC:A9:04:4F:D9:36,1,-72,11:43:18
DC:A9:04:4F:D9:36,1,-75,11:43:36
DC:A9:04:4F:D9:36,1,-73,11:43:56
