mac address, timestamp, rasp, echo_time, rssi, lq, tpl
DC:A9:04:4F:D9:36,12:09:23.194,1,81.05,-20,12,255
DC:A9:04:4F:D9:36,12:09:50.210,1,79.88,-21,12,255
DC:A9:04:4F:D9:36,12:08:52.603,1,126.05,-22,12,255
DC:A9:04:4F:D9:36,12:07:11.372,1,79.79,-22,12,255
DC:A9:04:4F:D9:36,12:08:00.492,1,82.33,-20,12,255
DC:A9:04:4F:D9:36,12:05:33.299,1,78.53,-21,12,84
DC:A9:04:4F:D9:36,12:10:34.569,1,79.80,-20,12,255
DC:A9:04:4F:D9:36,12:06:04.100,1,124.74,-20,12,80
DC:A9:04:4F:D9:36,12:09:35.053,1,79.84,-21,12,255
DC:A9:04:4F:D9:36,12:07:52.567,1,123.60,-22,12,255
DC:A9:04:4F:D9:36,12:09:22.113,1,79.85,-23,12,255
DC:A9:04:4F:D9:36,12:07:55.963,1,132.30,-21,12,255
DC:A9:04:4F:D9:36,12:07:20.152,1,139.79,-22,12,255
DC:A9:04:4F:D9:36,12:10:32.410,1,144.88,-21,12,255
DC:A9:04:4F:D9:36,12:09:26.483,1,80.90,-21,12,255
DC:A9:04:4F:D9:36,12:07:51.444,1,14.74,-21,12,255
DC:A9:04:4F:D9:36,12:06:51.572,1,83.44,-21,12,255
DC:A9:04:4F:D9:36,12:08:58.234,1,122.28,-19,12,255
DC:A9:04:4F:D9:36,12:07:57.176,1,212.31,-20,12,255
DC:A9:04:4F:D9:36,12:06:31.793,1,77.35,-19,12,255
DC:A9:04:4F:D9:36,12:05:36.552,1,84.76,-22,12,84
DC:A9:04:4F:D9:36,12:06:52.655,1,78.55,-23,12,255
DC:A9:04:4F:D9:36,12:08:14.947,1,123.57,-19,12,255
DC:A9:04:4F:D9:36,12:08:20.598,1,18.46,-22,12,255
DC:A9:04:4F:D9:36,12:10:06.406,1,79.80,-19,12,255
DC:A9:04:4F:D9:36,12:09:24.269,1,75.05,-20,12,255
DC:A9:04:4F:D9:36,12:10:50.721,1,79.86,-21,12,255
DC:A9:04:4F:D9:36,12:08:49.229,1,129.76,-20,12,255
DC:A9:04:4F:D9:36,12:06:25.356,1,78.49,-19,12,255
DC:A9:04:4F:D9:36,12:06:24.277,1,122.27,-22,12,255
DC:A9:04:4F:D9:36,12:09:51.289,1,79.83,-20,12,255
DC:A9:04:4F:D9:36,12:07:30.236,1,78.53,-21,12,255
DC:A9:04:4F:D9:36,12:05:20.188,1,191.01,-23,12,255
DC:A9:04:4F:D9:36,12:05:11.252,1,134.97,-22,12,255
DC:A9:04:4F:D9:36,12:05:18.997,1,124.76,-21,12,255
DC:A9:04:4F:D9:36,12:10:38.887,1,78.59,-21,12,255
DC:A9:04:4F:D9:36,12:09:17.768,1,79.89,-21,12,255
DC:A9:04:4F:D9:36,12:09:02.552,1,78.53,-22,12,255
DC:A9:04:4F:D9:36,12:06:35.033,1,78.53,-22,12,255
DC:A9:04:4F:D9:36,12:06:20.836,1,123.54,-21,12,255
DC:A9:04:4F:D9:36,12:08:40.526,1,132.34,-20,12,255
DC:A9:04:4F:D9:36,12:09:49.129,1,79.79,-20,12,255
DC:A9:04:4F:D9:36,12:10:57.200,1,79.86,-18,12,255
DC:A9:04:4F:D9:36,12:06:05.225,1,124.80,-20,12,80
DC:A9:04:4F:D9:36,12:05:17.872,1,141.06,-29,12,255
DC:A9:04:4F:D9:36,12:05:55.120,1,79.81,-19,12,255
DC:A9:04:4F:D9:36,12:08:41.652,1,126.06,-19,12,255
DC:A9:04:4F:D9:36,12:06:07.386,1,35.99,-21,12,80
DC:A9:04:4F:D9:36,12:09:10.151,1,79.86,-22,12,255
DC:A9:04:4F:D9:36,12:07:43.710,1,123.59,-22,12,255
DC:A9:04:4F:D9:36,12:06:43.944,1,131.04,-22,12,255
DC:A9:04:4F:D9:36,12:07:21.276,1,123.51,-29,12,255
DC:A9:04:4F:D9:36,12:10:42.142,1,79.79,-21,12,255
DC:A9:04:4F:D9:36,12:09:45.854,1,7.32,-19,12,255
DC:A9:04:4F:D9:36,12:10:44.232,1,7.33,-21,12,255
DC:A9:04:4F:D9:36,12:07:17.817,1,78.58,-20,12,255
DC:A9:04:4F:D9:36,12:08:50.353,1,123.57,-19,12,255
DC:A9:04:4F:D9:36,12:10:03.167,1,78.59,-20,12,255
DC:A9:04:4F:D9:36,12:05:35.468,1,88.53,-21,12,84
DC:A9:04:4F:D9:36,12:07:38.011,1,126.04,-20,12,255
DC:A9:04:4F:D9:36,12:05:58.429,1,149.33,-21,12,69
DC:A9:04:4F:D9:36,12:08:26.024,1,82.29,-21,12,255
DC:A9:04:4F:D9:36,12:08:06.018,1,108.58,-22,12,255
DC:A9:04:4F:D9:36,12:09:41.526,1,76.03,-20,12,255
DC:A9:04:4F:D9:36,12:05:15.710,1,218.51,-28,12,255
DC:A9:04:4F:D9:36,12:07:42.586,1,123.49,-20,12,255
DC:A9:04:4F:D9:36,12:05:47.605,1,99.83,-22,12,255
DC:A9:04:4F:D9:36,12:07:59.410,1,103.59,-22,12,255
DC:A9:04:4F:D9:36,12:09:18.847,1,78.56,-19,12,255
DC:A9:04:4F:D9:36,12:07:05.978,1,133.58,-22,12,255
DC:A9:04:4F:D9:36,12:08:48.099,1,83.59,-20,12,255
DC:A9:04:4F:D9:36,12:05:26.887,1,82.29,-23,12,65
DC:A9:04:4F:D9:36,12:07:16.739,1,78.58,-23,12,255
DC:A9:04:4F:D9:36,12:10:43.224,1,82.38,-21,12,255
DC:A9:04:4F:D9:36,12:08:44.856,1,78.60,-21,12,255
DC:A9:04:4F:D9:36,12:10:22.562,1,79.82,-19,12,255
DC:A9:04:4F:D9:36,12:10:33.490,1,79.84,-21,12,255
DC:A9:04:4F:D9:36,12:09:13.411,1,101.07,-18,12,255
DC:A9:04:4F:D9:36,12:08:51.477,1,123.59,-20,12,255
DC:A9:04:4F:D9:36,12:10:56.120,1,79.85,-19,12,255
DC:A9:04:4F:D9:36,12:05:37.615,1,62.21,-18,12,84
