mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-95,11:31:26
88:C9:D0:1F:3E:48,1,-81,11:31:44
88:C9:D0:1F:3E:48,1,-81,11:32:23
88:C9:D0:1F:3E:48,1,-83,11:32:41
88:C9:D0:1F:3E:48,1,-85,11:33:01
88:C9:D0:1F:3E:48,1,-82,11:33:17
88:C9:D0:1F:3E:48,1,-81,11:33:27
88:C9:D0:1F:3E:48,1,-82,11:33:34
88:C9:D0:1F:3E:48,1,-85,11:33:50
88:C9:D0:1F:3E:48,1,-81,11:33:55
88:C9:D0:1F:3E:48,1,-81,11:34:31
88:C9:D0:1F:3E:48,1,-89,11:34:54
88:C9:D0:1F:3E:48,1,-90,11:35:04
88:C9:D0:1F:3E:48,1,-91,11:35:22
88:C9:D0:1F:3E:48,1,-81,11:35:53
88:C9:D0:1F:3E:48,1,-90,11:36:36
88:C9:D0:1F:3E:48,1,-82,11:37:05
88:C9:D0:1F:3E:48,1,-83,11:37:17
DC:A9:04:4F:D9:36,1,-73,11:31:30
DC:A9:04:4F:D9:36,1,-66,11:31:43
DC:A9:04:4F:D9:36,1,-82,11:32:05
DC:A9:04:4F:D9:36,1,-66,11:32:45
DC:A9:04:4F:D9:36,1,-64,11:32:53
DC:A9:04:4F:D9:36,1,-75,11:33:01
DC:A9:04:4F:D9:36,1,-64,11:33:08
DC:A9:04:4F:D9:36,1,-65,11:33:24
DC:A9:04:4F:D9:36,1,-65,11:33:34
DC:A9:04:4F:D9:36,1,-72,11:34:10
DC:A9:04:4F:D9:36,1,-66,11:34:27
DC:A9:04:4F:D9:36,1,-67,11:34:49
DC:A9:04:4F:D9:36,1,-65,11:35:26
DC:A9:04:4F:D9:36,1,-71,11:35:33
DC:A9:04:4F:D9:36,1,-71,11:35:48
DC:A9:04:4F:D9:36,1,-72,11:36:14
DC:A9:04:4F:D9:36,1,-65,11:36:25
DC:A9:04:4F:D9:36,1,-65,11:36:40
DC:A9:04:4F:D9:36,1,-64,11:37:17
DC:A9:04:4F:D9:36,1,-66,11:37:17
