mac address, rasp, RX, timestamp, SN
A0:CB:FD:EF:17:78,1,-84,11:08:34.427,3660
A0:CB:FD:EF:17:78,1,-84,11:09:04.485,3661
A0:CB:FD:EF:17:78,1,-87,11:09:21.787,1258
A0:CB:FD:EF:17:78,1,-82,11:11:23.073,1288
A0:CB:FD:EF:17:78,1,-83,11:13:23.995,1319
A0:CB:FD:EF:17:78,1,-86,11:13:24.100,1320
F4:E3:FB:85:66:D8,1,-1,11:09:34.106,0
20:6E:9C:F4:FF:DD,1,-85,11:09:35.701,1618
20:6E:9C:F4:FF:DD,1,-84,11:13:22.202,1837
DC:A9:04:4F:D9:35,1,-1,11:08:06.443,0
DC:A9:04:4F:D9:35,1,-47,11:08:08.897,1615
DC:A9:04:4F:D9:35,1,-47,11:08:09.001,1629
DC:A9:04:4F:D9:35,1,-47,11:08:10.796,1656
DC:A9:04:4F:D9:35,1,-48,11:08:10.903,1679
DC:A9:04:4F:D9:35,1,-47,11:08:13.930,1717
DC:A9:04:4F:D9:35,1,-47,11:08:14.423,1749
DC:A9:04:4F:D9:35,1,-46,11:08:14.814,1753
DC:A9:04:4F:D9:35,1,-52,11:08:14.936,1773
DC:A9:04:4F:D9:35,1,-48,11:08:32.616,1821
DC:A9:04:4F:D9:35,1,-46,11:08:32.718,1829
DC:A9:04:4F:D9:35,1,-49,11:08:42.857,1857
DC:A9:04:4F:D9:35,1,-44,11:08:43.277,1884
DC:A9:04:4F:D9:35,1,-40,11:08:43.486,1908
DC:A9:04:4F:D9:35,1,-44,11:08:43.592,1914
DC:A9:04:4F:D9:35,1,-44,11:08:45.025,1960
DC:A9:04:4F:D9:35,1,-44,11:08:45.234,1965
DC:A9:04:4F:D9:35,1,-48,11:08:46.612,2011
DC:A9:04:4F:D9:35,1,-48,11:08:46.716,2015
DC:A9:04:4F:D9:35,1,-47,11:08:59.801,2096
DC:A9:04:4F:D9:35,1,-47,11:08:59.913,2101
DC:A9:04:4F:D9:35,1,-47,11:09:00.018,2103
DC:A9:04:4F:D9:35,1,-48,11:09:01.125,2117
DC:A9:04:4F:D9:35,1,-47,11:09:05.287,2136
DC:A9:04:4F:D9:35,1,-47,11:09:06.360,2144
DC:A9:04:4F:D9:35,1,-47,11:09:18.056,2172
DC:A9:04:4F:D9:35,1,-47,11:09:23.513,2213
DC:A9:04:4F:D9:35,1,-48,11:09:23.662,2217
DC:A9:04:4F:D9:35,1,-47,11:09:29.737,2266
DC:A9:04:4F:D9:35,1,-48,11:09:40.518,2306
DC:A9:04:4F:D9:35,1,-47,11:09:40.625,2328
DC:A9:04:4F:D9:35,1,-48,11:09:55.435,2402
DC:A9:04:4F:D9:35,1,-44,11:09:55.539,2407
DC:A9:04:4F:D9:35,1,-43,11:09:55.644,2431
DC:A9:04:4F:D9:35,1,-43,11:09:55.748,2450
DC:A9:04:4F:D9:35,1,-42,11:09:57.414,2479
DC:A9:04:4F:D9:35,1,-43,11:09:57.527,2497
DC:A9:04:4F:D9:35,1,-43,11:09:57.638,2507
DC:A9:04:4F:D9:35,1,-43,11:09:57.751,2512
DC:A9:04:4F:D9:35,1,-44,11:10:02.591,2523
DC:A9:04:4F:D9:35,1,-43,11:10:02.825,2540
DC:A9:04:4F:D9:35,1,-43,11:10:12.677,2590
DC:A9:04:4F:D9:35,1,-44,11:10:12.782,2595
DC:A9:04:4F:D9:35,1,-43,11:10:13.013,2617
DC:A9:04:4F:D9:35,1,-43,11:10:13.127,2633
DC:A9:04:4F:D9:35,1,-44,11:10:13.238,2637
DC:A9:04:4F:D9:35,1,-43,11:10:13.350,2648
DC:A9:04:4F:D9:35,1,-43,11:10:13.465,2662
DC:A9:04:4F:D9:35,1,-43,11:10:13.579,2663
DC:A9:04:4F:D9:35,1,-44,11:10:14.167,2679
DC:A9:04:4F:D9:35,1,-44,11:10:24.761,2746
DC:A9:04:4F:D9:35,1,-43,11:10:24.863,2752
DC:A9:04:4F:D9:35,1,-42,11:10:24.970,2753
DC:A9:04:4F:D9:35,1,-44,11:10:28.914,2794
DC:A9:04:4F:D9:35,1,-43,11:10:30.751,2830
DC:A9:04:4F:D9:35,1,-43,11:10:30.866,2853
DC:A9:04:4F:D9:35,1,-48,11:10:30.972,2868
DC:A9:04:4F:D9:35,1,-47,11:10:32.658,2888
DC:A9:04:4F:D9:35,1,-47,11:10:32.771,2889
DC:A9:04:4F:D9:35,1,-46,11:10:33.966,2917
DC:A9:04:4F:D9:35,1,-48,11:10:34.834,2930
DC:A9:04:4F:D9:35,1,-47,11:10:34.944,2942
DC:A9:04:4F:D9:35,1,-47,11:10:35.156,2947
DC:A9:04:4F:D9:35,1,-47,11:10:58.595,3146
DC:A9:04:4F:D9:35,1,-48,11:10:58.696,3147
DC:A9:04:4F:D9:35,1,-47,11:11:05.075,3174
DC:A9:04:4F:D9:35,1,-48,11:11:05.178,3179
DC:A9:04:4F:D9:35,1,-46,11:11:09.455,3197
DC:A9:04:4F:D9:35,1,-46,11:11:09.566,3206
DC:A9:04:4F:D9:35,1,-48,11:11:21.947,3286
DC:A9:04:4F:D9:35,1,-47,11:11:22.058,3298
DC:A9:04:4F:D9:35,1,-49,11:11:22.165,3312
DC:A9:04:4F:D9:35,1,-49,11:11:32.273,3358
DC:A9:04:4F:D9:35,1,-47,11:11:32.488,3386
DC:A9:04:4F:D9:35,1,-48,11:11:32.590,3395
DC:A9:04:4F:D9:35,1,-47,11:11:37.039,3409
DC:A9:04:4F:D9:35,1,-47,11:11:37.705,3420
DC:A9:04:4F:D9:35,1,-48,11:11:37.807,3421
DC:A9:04:4F:D9:35,1,-49,11:11:37.911,3427
DC:A9:04:4F:D9:35,1,-48,11:11:43.597,3443
DC:A9:04:4F:D9:35,1,-47,11:11:59.951,3536
DC:A9:04:4F:D9:35,1,-49,11:12:00.058,3540
DC:A9:04:4F:D9:35,1,-49,11:12:00.603,3544
DC:A9:04:4F:D9:35,1,-47,11:12:05.181,3560
DC:A9:04:4F:D9:35,1,-49,11:12:05.289,3563
DC:A9:04:4F:D9:35,1,-49,11:12:06.152,3577
DC:A9:04:4F:D9:35,1,-49,11:12:06.265,3587
DC:A9:04:4F:D9:35,1,-51,11:12:16.981,3613
DC:A9:04:4F:D9:35,1,-50,11:12:17.104,3617
DC:A9:04:4F:D9:35,1,-49,11:12:17.207,3632
DC:A9:04:4F:D9:35,1,-49,11:12:17.309,3638
DC:A9:04:4F:D9:35,1,-49,11:12:17.415,3644
DC:A9:04:4F:D9:35,1,-48,11:12:35.104,3704
DC:A9:04:4F:D9:35,1,-49,11:12:40.285,3725
DC:A9:04:4F:D9:35,1,-49,11:12:40.388,3726
DC:A9:04:4F:D9:35,1,-48,11:12:45.244,3731
DC:A9:04:4F:D9:35,1,-48,11:12:45.352,3751
DC:A9:04:4F:D9:35,1,-48,11:12:51.310,3792
DC:A9:04:4F:D9:35,1,-48,11:12:51.414,3798
DC:A9:04:4F:D9:35,1,-49,11:13:02.230,3806
DC:A9:04:4F:D9:35,1,-48,11:13:02.333,3807
DC:A9:04:4F:D9:35,1,-48,11:13:06.255,3872
DC:A9:04:4F:D9:35,1,-49,11:13:06.359,3894
DC:A9:04:4F:D9:35,1,-48,11:13:06.473,3909
DC:A9:04:4F:D9:35,1,-48,11:13:06.577,3939
DC:A9:04:4F:D9:35,1,-49,11:13:06.679,3953
DC:A9:04:4F:D9:35,1,-49,11:13:07.146,3954
DC:A9:04:4F:D9:35,1,-48,11:13:12.468,3970
DC:A9:04:4F:D9:35,1,-49,11:13:12.573,3973
DC:A9:04:4F:D9:35,1,-49,11:13:12.696,3976
DC:A9:04:4F:D9:35,1,-48,11:13:29.788,35
DC:A9:04:4F:D9:35,1,-48,11:13:29.898,36
DC:A9:04:4F:D9:35,1,-49,11:13:30.226,41
DC:A9:04:4F:D9:35,1,-48,11:13:30.332,59
DC:A9:04:4F:D9:35,1,-49,11:13:30.435,72
DC:A9:04:4F:D9:35,1,-48,11:13:31.195,81
DC:A9:04:4F:D9:35,1,-48,11:13:31.315,87
DC:A9:04:4F:D9:35,1,-48,11:13:31.427,113
DC:A9:04:4F:D9:35,1,-48,11:13:36.463,167
DC:A9:04:4F:D9:35,1,-48,11:13:47.179,178
DC:A9:04:4F:D9:35,1,-48,11:13:47.292,184
DC:A9:04:4F:D9:35,1,-48,11:13:52.462,193
84:11:9E:FD:16:B3,1,-1,11:09:05.737,0
84:B5:41:72:C3:AC,1,-82,11:09:07.860,2651
84:B5:41:72:C3:AC,1,-81,11:09:23.888,2749
00:0D:BD:1D:C4:8F,1,-88,11:11:18.195,1265
00:0D:BD:1D:C4:8F,1,-88,11:11:18.305,1266
C4:43:8F:B3:0A:F7,1,-66,11:08:04.084,6
C4:43:8F:B3:0A:F7,1,-66,11:08:04.186,12
C4:43:8F:B3:0A:F7,1,-67,11:08:04.299,2
C4:43:8F:B3:0A:F7,1,-66,11:08:04.432,8
C4:43:8F:B3:0A:F7,1,-66,11:08:04.535,11
C4:43:8F:B3:0A:F7,1,-65,11:08:04.657,3
C4:43:8F:B3:0A:F7,1,-66,11:08:04.759,9
C4:43:8F:B3:0A:F7,1,-66,11:08:04.867,13
C4:43:8F:B3:0A:F7,1,-66,11:08:04.973,5
C4:43:8F:B3:0A:F7,1,-65,11:08:05.078,11
C4:43:8F:B3:0A:F7,1,-66,11:08:05.179,15
C4:43:8F:B3:0A:F7,1,-64,11:08:05.284,5
C4:43:8F:B3:0A:F7,1,-65,11:08:05.389,11
C4:43:8F:B3:0A:F7,1,-65,11:08:05.494,1
C4:43:8F:B3:0A:F7,1,-65,11:08:05.597,7
C4:43:8F:B3:0A:F7,1,-65,11:08:05.702,11
C4:43:8F:B3:0A:F7,1,-66,11:08:05.821,3
C4:43:8F:B3:0A:F7,1,-66,11:08:05.925,9
C4:43:8F:B3:0A:F7,1,-66,11:08:06.030,8
C4:43:8F:B3:0A:F7,1,-66,11:08:06.132,0
C4:43:8F:B3:0A:F7,1,-66,11:08:06.235,15
C4:43:8F:B3:0A:F7,1,-66,11:08:06.338,5
C4:43:8F:B3:0A:F7,1,-64,11:08:06.443,11
C4:43:8F:B3:0A:F7,1,-66,11:08:06.548,0
C4:43:8F:B3:0A:F7,1,-66,11:08:06.653,6
C4:43:8F:B3:0A:F7,1,-66,11:08:06.758,11
