mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-93,11:44:58
88:C9:D0:1F:3E:48,1,-85,11:45:26
88:C9:D0:1F:3E:48,1,-92,11:45:49
88:C9:D0:1F:3E:48,1,-93,11:48:43
88:C9:D0:1F:3E:48,1,-93,11:49:15
88:C9:D0:1F:3E:48,1,-86,11:49:32
DC:A9:04:4F:D9:36,1,-70,11:44:58
DC:A9:04:4F:D9:36,1,-81,11:45:16
DC:A9:04:4F:D9:36,1,-86,11:45:29
DC:A9:04:4F:D9:36,1,-76,11:45:45
DC:A9:04:4F:D9:36,1,-84,11:45:45
DC:A9:04:4F:D9:36,1,-81,11:45:59
DC:A9:04:4F:D9:36,1,-92,11:46:14
DC:A9:04:4F:D9:36,1,-94,11:46:28
DC:A9:04:4F:D9:36,1,-79,11:46:45
DC:A9:04:4F:D9:36,1,-89,11:47:18
DC:A9:04:4F:D9:36,1,-82,11:47:30
DC:A9:04:4F:D9:36,1,-82,11:47:51
DC:A9:04:4F:D9:36,1,-89,11:48:05
DC:A9:04:4F:D9:36,1,-70,11:48:28
DC:A9:04:4F:D9:36,1,-71,11:48:37
DC:A9:04:4F:D9:36,1,-86,11:49:00
DC:A9:04:4F:D9:36,1,-85,11:49:13
DC:A9:04:4F:D9:36,1,-71,11:49:31
DC:A9:04:4F:D9:36,1,-72,11:49:47
DC:A9:04:4F:D9:36,1,-74,11:50:04
DC:A9:04:4F:D9:36,1,-87,11:50:15
DC:A9:04:4F:D9:36,1,-82,11:50:41
DC:A9:04:4F:D9:36,1,-92,11:50:53
