"rasp1","rasp2","rasp3","rasp4","location"
-73,-57,-86,-87,1.2
-73,-57,-82,-87,1.2
-73,-57,-86,-65,1.2
-73,-57,-82,-65,1.2
-73,-57,-86,-84,1.2
-73,-57,-82,-84,1.2
-73,-57,-86,-87,1.2
-73,-57,-82,-87,1.2
-73,-57,-86,-65,1.2
-73,-57,-82,-65,1.2
-73,-57,-86,-84,1.2
-73,-57,-82,-84,1.2
-73,-57,-86,-87,1.2
-73,-57,-82,-87,1.2
-73,-57,-86,-65,1.2
-73,-57,-82,-65,1.2
-73,-57,-86,-84,1.2
-73,-57,-82,-84,1.2
-73,-57,-86,-87,1.2
-73,-57,-82,-87,1.2
-73,-57,-86,-65,1.2
-73,-57,-82,-65,1.2
-73,-57,-86,-84,1.2
-73,-57,-82,-84,1.2
-73,-57,-86,-87,1.2
-73,-57,-82,-87,1.2
-73,-57,-86,-65,1.2
-73,-57,-82,-65,1.2
-73,-57,-86,-84,1.2
-73,-57,-82,-84,1.2
-73,-57,-86,-87,1.2
-73,-57,-82,-87,1.2
-73,-57,-86,-65,1.2
-73,-57,-82,-65,1.2
-72,-56,-81,-84,1.2
-72,-56,-81,-84,1.2
-72,-56,-81,-84,1.2
-72,-56,-81,-84,1.2
-72,-56,-81,-84,1.2
-72,-56,-81,-84,1.2
-72,-57,-82,-88,1.2
-72,-57,-84,-88,1.2
-72,-57,-82,-92,1.2
-72,-57,-84,-92,1.2
-72,-57,-82,-88,1.2
-72,-57,-84,-88,1.2
-72,-57,-82,-92,1.2
-72,-57,-84,-92,1.2
-72,-57,-82,-88,1.2
-72,-57,-84,-88,1.2
-72,-57,-82,-92,1.2
-72,-57,-84,-92,1.2
-72,-58,-86,-84,1.2
-72,-58,-82,-84,1.2
-72,-58,-86,-87,1.2
-72,-58,-82,-87,1.2
-72,-58,-86,-65,1.2
-72,-58,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-59,-83,-85,1.2
-72,-59,-84,-85,1.2
-72,-59,-83,-87,1.2
-72,-59,-84,-87,1.2
-72,-56,-83,-85,1.2
-72,-56,-84,-85,1.2
-72,-56,-83,-87,1.2
-72,-56,-84,-87,1.2
-72,-57,-83,-85,1.2
-72,-57,-84,-85,1.2
-72,-57,-83,-87,1.2
-72,-57,-84,-87,1.2
-72,-57,-86,-85,1.2
-72,-56,-86,-85,1.2
-71,-58,-86,-84,1.2
-71,-58,-82,-84,1.2
-71,-58,-86,-87,1.2
-71,-58,-82,-87,1.2
-71,-58,-86,-65,1.2
-71,-58,-82,-65,1.2
-71,-57,-86,-84,1.2
-71,-57,-82,-84,1.2
-71,-57,-86,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-86,-65,1.2
-71,-57,-82,-65,1.2
-71,-57,-86,-84,1.2
-71,-57,-82,-84,1.2
-71,-57,-86,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-86,-65,1.2
-71,-57,-82,-65,1.2
-71,-57,-86,-84,1.2
-71,-57,-82,-84,1.2
-71,-57,-86,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-86,-65,1.2
-71,-57,-82,-65,1.2
-71,-57,-86,-84,1.2
-71,-57,-82,-84,1.2
-71,-57,-86,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-86,-65,1.2
-71,-57,-82,-65,1.2
-71,-57,-86,-84,1.2
-71,-57,-82,-84,1.2
-71,-57,-86,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-86,-65,1.2
-71,-57,-82,-65,1.2
-71,-57,-86,-84,1.2
-71,-57,-82,-84,1.2
-71,-57,-86,-87,1.2
-71,-57,-82,-87,1.2
-71,-57,-86,-65,1.2
-71,-57,-82,-65,1.2
-72,-58,-86,-84,1.2
-72,-58,-82,-84,1.2
-72,-58,-86,-87,1.2
-72,-58,-82,-87,1.2
-72,-58,-86,-65,1.2
-72,-58,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
