rasp1,rasp2,rasp3,rasp4,"location"
-45,-75,-77,-82,"1.1"
-45,-73,-75,-84,"1.1"
-45,-72,-76,-82,"1.1"
-44,-73,-76,-84,"1.1"
-45,-74,-66,-81,"1.1"
-45,-75,-79,-83,"1.1"
-45,-72,-76,-82,"1.1"
-46,-72,-75,-84,"1.1"
-45,-73,-77,-84,"1.1"
-45,-72,-79,-86,"1.1"
-44,-74,-74,-81,"1.1"
-48,-75,-79,-86,"1.1"
-49,-75,-78,-87,"1.1"
-48,-74,-78,-86,"1.1"
-49,-75,-79,-85,"1.1"
-44,-73,-75,-82,"1.1"
-45,-73,-75,-82,"1.1"
-45,-72,-76,-80,"1.1"
-44,-73,-76,-85,"1.1"
-48,-75,-79,-86,"1.1"
-49,-76,-79,-86,"1.1"
-49,-76,-79,-87,"1.1"
-48,-75,-79,-85,"1.1"
-45,-75,-76,-84,"1.1"
-49,-76,-78,-86,"1.1"
-48,-75,-78,-86,"1.1"
-45,-72,-77,-84,"1.1"
-45,-72,-75,-83,"1.1"
-48,-75,-79,-86,"1.1"
-44,-73,-75,-81,"1.1"
-45,-75,-76,-85,"1.1"
-47,-75,-77,-83,"1.1"
-44,-73,-75,-80,"1.1"
-48,-76,-80,-86,"1.1"
-48,-75,-79,-86,"1.1"
-46,-74,-77,-83,"1.1"
-44,-75,-76,-82,"1.1"
-47,-74,-78,-85,"1.1"
-48,-74,-78,-87,"1.1"
-49,-75,-78,-84,"1.1"
-46,-75,-76,-82,"1.1"
-45,-75,-76,-85,"1.1"
-45,-75,-76,-84,"1.1"
-45,-74,-83,-85,"1.1"
-49,-74,-76,-84,"1.1"
-45,-75,-78,-84,"1.1"
-45,-73,-79,-80,"1.1"
-49,-76,-80,-87,"1.1"
-50,-76,-78,-87,"1.1"
-46,-73,-76,-85,"1.1"
-45,-74,-76,-81,"1.1"
-47,-73,-79,-87,"1.1"
-47,-73,-77,-87,"1.1"
-45,-75,-75,-82,"1.1"
-45,-75,-75,-86,"1.1"
-45,-72,-77,-84,"1.1"
-47,-74,-75,-85,"1.1"
-46,-74,-76,-81,"1.1"
-48,-75,-78,-87,"1.1"
-44,-72,-74,-85,"1.1"
-44,-74,-76,-81,"1.1"
-48,-75,-79,-86,"1.1"
-47,-74,-78,-86,"1.1"
-48,-76,-79,-85,"1.1"
-49,-76,-79,-87,"1.1"
-48,-75,-84,-85,"1.1"
-48,-75,-80,-85,"1.1"
-48,-75,-79,-86,"1.1"
-48,-75,-78,-86,"1.1"
-48,-75,-79,-87,"1.1"
-45,-74,-76,-83,"1.1"
-44,-72,-75,-80,"1.1"
-46,-73,-77,-81,"1.1"
-48,-74,-79,-86,"1.1"
-48,-76,-78,-86,"1.1"
-45,-74,-76,-82,"1.1"
-45,-72,-76,-82,"1.1"
-45,-72,-75,-82,"1.1"
-45,-74,-75,-85,"1.1"
-45,-75,-76,-86,"1.1"
-46,-72,-76,-82,"1.1"
-49,-76,-79,-86,"1.1"
-45,-73,-78,-83,"1.1"
-45,-74,-76,-81,"1.1"
-45,-72,-75,-80,"1.1"
-45,-72,-75,-80,"1.1"
-45,-73,-78,-85,"1.1"
-45,-73,-75,-83,"1.1"
-48,-75,-80,-86,"1.1"
-49,-73,-79,-81,"1.1"
-45,-77,-78,-83,"1.1"
-45,-75,-77,-82,"1.1"
-46,-74,-77,-83,"1.1"
-44,-75,-77,-83,"1.1"
-45,-73,-78,-84,"1.1"
-45,-72,-76,-85,"1.1"
-48,-76,-80,-86,"1.1"
-48,-74,-75,-81,"1.1"
-44,-72,-77,-83,"1.1"
-49,-75,-79,-85,"1.1"
-48,-76,-79,-86,"1.1"
-49,-75,-80,-86,"1.1"
-49,-75,-78,-86,"1.1"
-49,-76,-80,-86,"1.1"
-47,-73,-76,-81,"1.1"
-45,-74,-76,-85,"1.1"
-48,-75,-80,-87,"1.1"
-48,-74,-79,-85,"1.1"
-45,-75,-79,-80,"1.1"
-46,-73,-75,-80,"1.1"
-44,-73,-76,-82,"1.1"
-48,-76,-79,-86,"1.1"
-48,-74,-78,-86,"1.1"
-49,-75,-79,-87,"1.1"
-49,-76,-79,-85,"1.1"
-46,-75,-78,-82,"1.1"
-45,-74,-79,-83,"1.1"
-50,-76,-74,-86,"1.1"
-45,-71,-79,-83,"1.1"
-45,-72,-76,-85,"1.1"
-46,-72,-77,-81,"1.1"
-45,-74,-75,-81,"1.1"
-45,-71,-77,-81,"1.1"
-45,-72,-78,-81,"1.1"
-48,-75,-78,-86,"1.1"
-49,-75,-78,-85,"1.1"
-45,-74,-77,-82,"1.1"
-45,-73,-75,-84,"1.1"
-45,-73,-75,-83,"1.1"
-45,-73,-76,-81,"1.1"
-45,-76,-77,-86,"1.1"
-48,-75,-79,-85,"1.1"
-47,-76,-80,-85,"1.1"
-49,-76,-79,-86,"1.1"
-49,-76,-80,-85,"1.1"
-48,-75,-78,-86,"1.1"
-49,-75,-75,-82,"1.1"
-45,-76,-76,-84,"1.1"
-45,-73,-77,-81,"1.1"
-45,-73,-78,-85,"1.1"
-44,-74,-77,-80,"1.1"
-49,-75,-79,-86,"1.1"
-45,-73,-75,-82,"1.1"
-46,-72,-76,-84,"1.1"
-44,-74,-76,-81,"1.1"
-46,-74,-77,-81,"1.1"
-44,-74,-77,-85,"1.1"
-48,-74,-79,-84,"1.1"
-45,-76,-79,-85,"1.1"
-45,-76,-74,-85,"1.1"
-45,-76,-79,-85,"1.1"
-45,-76,-74,-85,"1.1"
-45,-72,-79,-85,"1.1"
-45,-72,-74,-85,"1.1"
-45,-72,-79,-85,"1.1"
-45,-72,-74,-85,"1.1"
-45,-76,-77,-84,"1.1"
-45,-74,-76,-83,"1.1"
-45,-73,-75,-84,"1.1"
-46,-73,-76,-83,"1.1"
-48,-76,-79,-85,"1.1"
-47,-74,-79,-85,"1.1"
-45,-74,-77,-81,"1.1"
-45,-74,-75,-85,"1.1"
-45,-73,-77,-84,"1.1"
-45,-73,-75,-82,"1.1"
