"rasp5","location"
-77.2500,1.1
-77.9655,1.2
-70.5494,1.3
-72.6087,1.4
-70.1000,1.5
-70.3750,10.1
-70.9565,10.2
-77.7143,10.3
-70.6154,10.4
-70.8000,10.5
-80.2667,2.1
-58.8874,2.2
-56.0145,2.3
-70.3889,2.4
-67.7228,2.5
-67.5442,3.1
-48.6733,3.2
-55.6619,3.3
-65.4518,3.4
-62.1143,3.5
-63.9764,4.1
-58.9348,4.2
-30.0000,4.3
-52.1053,4.4
-64.3871,4.5
-72.1429,5.1
-68.8769,5.2
-48.0556,5.3
-64.1000,5.4
-67.9889,5.5
-74.0300,6.1
-65.6364,6.2
-63.4848,6.3
-62.7215,6.4
-68.5833,6.5
-83.0667,7.1
-63.3160,7.2
-74.0833,7.3
-75.7527,7.4
-65.1250,7.5
-75.8607,8.1
-65.4545,8.2
-71.8194,8.3
-68.7417,8.4
-65.5000,8.5
-75.5385,9.1
-77.1250,9.2
-64.9773,9.3
-67.9940,9.4
-77.6071,9.5
