"rasp5","location"
-6.3838,1.1
-6.1667,1.2
-5.0000,1.3
-1.2268,1.4
-1.1531,1.5
0.0000,10.1
-0.0680,10.2
-0.3333,10.3
-4.2128,10.4
-0.0330,10.5
-1.1616,2.1
-3.2979,2.2
-2.8261,2.3
-6.4444,2.4
-3.7172,2.5
-5.0426,3.1
-0.1023,3.2
-0.0808,3.3
-3.4639,3.4
-2.6264,3.5
-0.8660,4.1
0.0000,4.2
9.8900,4.3
-0.0309,4.4
-5.4000,4.5
-0.1122,5.1
-0.9570,5.2
7.0990,5.3
-0.1979,5.4
-0.0400,5.5
-8.1569,6.1
-6.2300,6.2
-0.2475,6.3
0.0000,6.4
-3.2424,6.5
-11.6154,7.1
-4.5000,7.2
-6.1075,7.3
-0.6353,7.4
-1.1915,7.5
-0.7765,8.1
-0.5333,8.2
-1.9158,8.3
-0.0108,8.4
-0.3373,8.5
-0.6731,9.1
-3.7917,9.2
-2.1474,9.3
-2.9895,9.4
-4.1900,9.5
