"rasp6","location"
-20.0698,1.1
-20.4105,1.2
-25.7412,1.3
-26.7321,1.4
-16.0989,1.5
-22.2796,10.1
-17.3958,10.2
-11.9195,10.3
-11.8485,10.4
-18.4660,10.5
-23.9341,2.1
-17.2308,2.2
-24.7927,2.3
-12.9010,2.4
-18.3673,2.5
-22.8043,3.1
-14.5604,3.2
-15.4242,3.3
-12.6800,3.4
-16.0000,3.5
-21.8495,4.1
-12.6353,4.2
-15.7791,4.3
-13.3297,4.4
-16.6771,4.5
-26.9579,5.1
-13.4375,5.2
-15.8000,5.3
-13.0306,5.4
-17.3077,5.5
-17.6970,6.1
-12.6837,6.2
0.0000,6.3
0.0000,6.4
-11.2198,6.5
-11.5143,7.1
-4.7843,7.2
0.0000,7.3
0.0000,7.4
-5.9802,7.5
-11.9515,8.1
0.0000,8.2
0.0000,8.3
0.0000,8.4
-12.2553,8.5
-20.6180,9.1
-12.2255,9.2
-0.1912,9.3
-7.6774,9.4
-7.3366,9.5
