"rasp6","location"
-72.4208,1.1
-62.2078,1.2
-70.1478,1.3
-76.4802,1.4
-65.3105,1.5
-58.1309,10.1
-57.2303,10.2
-55.6904,10.3
-52.6865,10.4
-56.6364,10.5
-71.3240,2.1
-67.6494,2.2
-66.9075,2.3
-63.9691,2.4
-67.4060,2.5
-63.8396,3.1
-64.8873,3.2
-83.9072,3.3
-70.0070,3.4
-65.6748,3.5
-68.7005,4.1
-64.5141,4.2
-63.7166,4.3
-65.3121,4.4
-65.3269,4.5
-64.7447,5.1
-75.0223,5.2
-65.0971,5.3
-67.4488,5.4
-67.5830,5.5
-64.3734,6.1
-62.3995,6.2
-57.0901,6.3
-57.9829,6.4
-70.3734,6.5
-63.8643,7.1
-60.7669,7.2
-49.6860,7.3
-62.3289,7.4
-55.3394,7.5
-64.4027,8.1
-59.2255,8.2
-42.8297,8.3
-52.8771,8.4
-63.0720,8.5
-66.7711,9.1
-64.7598,9.2
-56.8169,9.3
-53.7685,9.4
-59.5394,9.5
