"rasp5","rasp6","location","device"
-22.3380,-14.5173,"(1,16)","LG"
-9.0089,-2.4707,"(3,18)","SAMS"
-3.3750,-0.1171,"(7,17)","S3"
0.0000,-3.2327,"(1,11)","TAB"
-0.4387,-8.3394,"(4,9)","IPAD"
-0.5214,-16.5478,"(3,14)","LG"
-1.4176,-4.7041,"(7,14)","SAMS"
-4.1207,-0.2540,"(2,5)","S3"
0.0000,-0.0868,"(6,11)","TAB"
-4.3087,0.0000,"(2,5)","IPAD"
-14.2929,-2.3378,"(8,7)","LG"
-8.1681,-5.5910,"(8,2)","SAMS"
-4.0472,-0.1761,"(5,0)","S3"
-1.3878,6.4875,"(3,7)","TAB"
-6.2021,-7.9519,"(1,1)","IPAD"
