"rasp2","location"
-73.9589,1.1
-54.1609,1.2
-62.2578,1.3
-45.8302,1.4
-54.8771,1.5
-74.6044,10.1
-74.2261,10.2
-71.5385,10.3
-74.7187,10.4
-73.9858,10.5
-68.2137,2.1
-73.7392,2.2
-58.8120,2.3
-66.8044,2.4
-53.7036,2.5
-67.7583,3.1
-66.6302,3.2
-62.1542,3.3
-62.4317,3.4
-69.7922,3.5
-71.4237,4.1
-64.5006,4.2
-72.0898,4.3
-62.4704,4.4
-64.8421,4.5
-64.1811,5.1
-76.3365,5.2
-69.8489,5.3
-67.2269,5.4
-66.4424,5.5
-69.8033,6.1
-62.5337,6.2
-63.3046,6.3
-64.4545,6.4
-72.8955,6.5
-72.3385,7.1
-70.4017,7.2
-72.9512,7.3
-74.8659,7.4
-67.9094,7.5
-67.5848,8.1
-72.1418,8.2
-68.9172,8.3
-75.6241,8.4
-69.2052,8.5
-72.8430,9.1
-77.0249,9.2
-77.0668,9.3
-72.8451,9.4
-71.5626,9.5
