"rasp1","location"
-46.3430,1.1
-53.2701,1.2
-62.8833,1.3
-63.9379,1.4
-62.3229,1.5
-78.8641,10.1
-66.6780,10.2
-73.3890,10.3
-70.0614,10.4
-67.1171,10.5
-56.9708,2.1
-59.0436,2.2
-59.0366,2.3
-68.7325,2.4
-70.7438,2.5
-67.6068,3.1
-55.5235,3.2
-70.5150,3.3
-68.3894,3.4
-71.5200,3.5
-77.8887,4.1
-68.9983,4.2
-78.9158,4.3
-65.8134,4.4
-68.4025,4.5
-67.5538,5.1
-67.9735,5.2
-66.7550,5.3
-72.5743,5.4
-64.3072,5.5
-73.5127,6.1
-58.4264,6.2
-56.5658,6.3
-62.5345,6.4
-62.9044,6.5
-79.5645,7.1
-81.4529,7.2
-76.6522,7.3
-72.6599,7.4
-73.3215,7.5
-81.0327,8.1
-68.0559,8.2
-67.4719,8.3
-64.7115,8.4
-64.3427,8.5
-75.0753,9.1
-65.9212,9.2
-74.2822,9.3
-62.3314,9.4
-71.5143,9.5
