"rasp4","location"
-83.6798,1.1
-89.1916,1.2
-84.4849,1.3
-76.9206,1.4
-79.5194,1.5
-48.1906,10.1
-70.3420,10.2
-71.5528,10.3
-75.3916,10.4
-76.8923,10.5
-84.5525,2.1
-85.1949,2.2
-91.5302,2.3
-79.7574,2.4
-79.2170,2.5
-87.2752,3.1
-81.6311,3.2
-90.1719,3.3
-80.3398,3.4
-81.9574,3.5
-82.0202,4.1
-77.3942,4.2
-85.9328,4.3
-79.6082,4.4
-92.0376,4.5
-80.6006,5.1
-80.8416,5.2
-81.3289,5.3
-85.3426,5.4
-89.1887,5.5
-82.9607,6.1
-80.8623,6.2
-83.4294,6.3
-90.7515,6.4
-82.7586,6.5
-77.5785,7.1
-75.9101,7.2
-77.9259,7.3
-79.3843,7.4
-85.3822,7.5
-71.7500,8.1
-85.2571,8.2
-84.3908,8.3
-71.2037,8.4
-79.4784,8.5
-79.9222,9.1
-66.9277,9.2
-67.4769,9.3
-78.7536,9.4
-70.6254,9.5
