"rasp1","rasp2","rasp3","rasp4","rasp5","rasp6"
0.937210426359806,0.622871984650461,0.0748582950489924,0,0.618180220381102,1
1,0.879112611430919,0.291737406635615,0,0.593814810598374,0.91743841291683
0.736961101690561,1,0.24792780827928,0,0.866597099524493,0.995371413438316
0.341486345540816,0.333348023445419,0.401950846884962,0,1,0.841704248870085
0,0.777566898693568,0.286924358511218,0.772336857769846,1,0.574010470865437
0.130543459077421,0.453060420369147,0,0.517683660109258,1,0.342217917198524
0.460254572119647,1,0.300424651687115,0,0.92342588843043,0.743578237695498
0.116558575445173,0,0.637023430178069,0.689799437675726,0.710088097469541,1
0.396651337371168,0.719140422033859,0,0.422375084336976,1,0.993268552195863
0.479350429347509,0,0.819089900110988,0.0994411667348171,0.580514827579493,1
0.402977651396382,0,0.421958286931419,0.100271383623999,0.353701521261988,1
0.277366777927232,0,1,0.453640047161195,0.660900214218104,0.767888872282834
0.612046119769006,0,0.955541491970572,0.863257455897476,0.80860394747251,1
0.142949210391994,0,0.324123388173667,0.486710972019571,0.593966703960156,1
0,0.41088138838531,0.497871386959444,1,0.742443932943597,0.671158821013179
