"rasp1","location"
0.0814,1.1
-1.1184,1.2
-1.8293,1.3
-1.0357,1.4
-5.0500,1.5
-19.3125,10.1
-11.1493,10.2
-11.5217,10.3
-1.2025,10.4
-10.6277,10.5
-1.8442,2.1
-4.5556,2.2
-8.7234,2.3
-7.8395,2.4
-9.5854,2.5
-0.0988,3.1
-1.1354,3.2
-7.0341,3.3
-7.6633,3.4
-20.4639,3.5
-5.4337,4.1
-0.7976,4.2
-12.9451,4.3
-1.4884,4.4
-5.0972,4.5
-12.9873,5.1
-6.1824,5.2
-13.8438,5.3
-5.1200,5.4
-15.9231,5.5
-17.7895,6.1
-0.0471,6.2
-1.5682,6.3
-2.7625,6.4
-13.1216,6.5
-12.3605,7.1
-17.3812,7.2
-13.8169,7.3
-18.4778,7.4
-14.1212,7.5
-18.2371,8.1
-5.5333,8.2
-6.4103,8.3
-0.7976,8.4
-8.1075,8.5
-19.7083,9.1
-14.3788,9.2
-7.0625,9.3
-7.4140,9.4
-3.9063,9.5
