"rasp3","location"
-4.3409,1.1
-15.7179,1.2
-10.7241,1.3
-6.7561,1.4
-11.3563,1.5
-0.0615,10.1
-9.8737,10.2
-1.9643,10.3
0.0000,10.4
0.0000,10.5
-4.1923,2.1
-7.2174,2.2
-9.7931,2.3
-8.1412,2.4
-20.5417,2.5
-11.9688,3.1
-7.5432,3.2
-12.7011,3.3
-0.5172,3.4
-11.6279,3.5
-7.3143,4.1
-17.4239,4.2
-7.9634,4.3
-6.2065,4.4
-10.1558,4.5
-6.4384,5.1
-9.3810,5.2
-4.6506,5.3
-10.9710,5.4
-1.8810,5.5
-13.4868,6.1
-9.7619,6.2
-5.0250,6.3
-6.4815,6.4
-5.0435,6.5
-14.6023,7.1
-3.9681,7.2
-2.0674,7.3
-6.7821,7.4
-2.3222,7.5
-7.8642,8.1
-3.7432,8.2
-3.6897,8.3
-0.6711,8.4
-0.1149,8.5
-11.0115,9.1
-2.8861,9.2
-6.8523,9.3
-0.0241,9.4
-1.9701,9.5
