"rasp2","location"
-11.9459,1.1
-10.6988,1.2
-3.0690,1.3
-0.0588,1.4
8.0732,1.5
-17.6588,10.1
-15.3857,10.2
-12.4416,10.3
-12.8806,10.4
-13.8333,10.5
-10.3721,2.1
-6.5405,2.2
-8.8295,2.3
0.0000,2.4
0.0000,2.5
-4.6667,3.1
-4.8068,3.2
-1.5476,3.3
-1.3951,3.4
-0.5644,3.5
-16.7586,4.1
-5.8202,4.2
-17.8659,4.3
-3.8276,4.4
-3.1538,4.5
-8.7273,5.1
-7.6935,5.2
-3.1786,5.3
-1.6286,5.4
-1.3977,5.5
-16.1667,6.1
-7.2917,6.2
-6.0632,6.3
-10.7191,6.4
-3.9059,6.5
-17.0918,7.1
-19.8229,7.2
-16.3563,7.3
-8.7467,7.4
-5.5301,7.5
-7.6429,8.1
-17.0860,8.2
-14.8370,8.3
-7.2706,8.4
-11.0435,8.5
-6.0000,9.1
-17.4941,9.2
-17.0106,9.3
-17.0839,9.4
-9.7391,9.5
