"timestamp","rssi","echo_time",1
"06:34:41",-18,9.82,3
"04:08:38",-21,9.82,2
"07:19:02",-11,9.82,3
"07:31:01",-5,9.82,3
"06:02:11",-21,9.83,3
"00:43:13",-20,9.83,1
"03:14:20",-15,9.83,2
"06:37:37",-25,9.83,3
"03:39:28",-24,9.83,2
"06:47:47",-18,9.84,3
"00:56:44",-23,9.84,1
"01:11:01",-21,9.84,1
"06:37:49",-18,9.84,3
"00:57:32",-22,9.84,1
"07:38:17",-17,9.85,3
"06:02:55",-18,9.85,3
"07:13:44",-5,9.85,3
"04:23:49",-20,9.85,2
"06:12:58",-22,9.85,3
"03:59:53",-22,9.85,2
"03:18:09",-22,9.85,2
"03:23:52",-20,9.85,2
"00:10:56",-23,9.85,1
"04:28:28",-16,9.85,2
"01:24:53",-18,9.86,1
"01:11:05",-23,9.86,1
"01:02:46",-21,9.86,1
"04:27:44",-19,9.86,2
"04:20:48",-22,9.86,2
"00:23:37",-22,9.86,1
"00:44:45",-20,9.86,1
"07:26:30",-20,9.86,3
"00:43:24",-20,9.87,1
"01:31:14",-20,9.87,1
"03:22:45",-19,9.87,2
"03:21:18",-21,9.87,2
"03:52:34",-19,9.87,2
"06:12:18",-20,9.88,3
"03:41:58",-20,9.88,2
"03:20:33",-19,9.88,2
"01:15:48",-19,9.88,1
"03:21:04",-26,9.88,2
"06:09:01",-20,9.89,3
"00:04:10",-24,9.89,1
"07:13:48",-15,9.89,3
"03:27:08",-19,9.89,2
"06:51:57",-18,9.9,3
"06:18:46",-20,9.9,3
"00:04:32",-16,10.31,1
"06:27:17",-17,10.39,3
"03:28:26",-23,10.49,2
"03:04:53",-20,10.53,2
"03:10:19",-16,10.61,2
"00:51:36",-20,10.68,1
"01:02:13",-10,10.81,1
"01:15:42",-20,10.97,1
"06:48:26",-18,11,3
"03:52:54",-20,11,2
"07:00:42",-13,11.01,3
"03:59:13",-20,11.01,2
"03:55:34",-23,11.02,2
"06:43:09",-10,11.02,3
"04:17:50",-23,11.03,2
"06:32:32",-25,11.03,3
"04:01:18",-26,11.03,2
"07:26:29",-17,11.03,3
"01:26:11",-22,11.03,1
"03:14:17",-21,11.03,2
"06:18:21",-22,11.05,3
"00:45:53",-21,11.05,1
"01:31:50",-22,11.05,1
"06:21:35",-19,11.05,3
"06:40:16",-22,11.05,3
"04:03:15",-22,11.06,2
"00:34:37",-22,11.06,1
"01:03:47",-20,11.06,1
"04:38:49",-22,11.06,2
"06:01:13",-23,11.06,3
"03:50:31",-17,11.06,2
"06:49:11",-15,11.06,3
"04:37:28",-17,11.06,2
"07:17:43",-16,11.06,3
