"timestamp","rssi","rx"
"19:01:50 ",-8,-66
"19:02:46 ",-9,-76
"19:10:38 ",-8,-68
"19:12:02 ",-8,-66
"19:08:12 ",-11,-77
"18:58:28 ",-11,-76
"19:14:23 ",-8,-76
"19:08:22 ",-7,-66
"19:08:01 ",-6,-76
"19:06:27 ",-8,-65
"19:09:31 ",-9,-73
"19:03:43 ",-9,-65
"19:13:42 ",-9,-76
"19:13:47 ",-8,-74
"19:01:09 ",-10,-66
"18:54:35 ",-9,-69
"18:55:06 ",-6,-76
"18:59:04 ",-8,-65
"19:07:18 ",-8,-65
"19:11:26 ",-10,-76
"19:00:49 ",-10,-73
"18:57:44 ",-11,-66
"19:02:31 ",-9,-66
"19:12:51 ",-10,-76
"19:06:52 ",-9,-76
"18:55:47 ",-9,-76
"18:55:36 ",-8,-67
