"timestamp","rssi","rx"
"18:36:09 ",0,-78
"18:37:36 ",0,-93
"18:52:17 ",0,-75
"18:34:24 ",-1,-80
"18:48:03 ",0,-88
"18:49:32 ",0,-72
"18:51:21 ",0,-74
"18:45:58 ",0,-88
"18:49:28 ",-4,-80
"18:51:05 ",0,-74
"18:38:28 ",0,-72
"18:35:35 ",-5,-87
"18:46:59 ",0,-72
"18:41:37 ",0,-76
"18:47:37 ",0,-76
"18:40:26 ",0,-72
"18:40:22 ",0,-88
"18:44:08 ",0,-75
"18:42:55 ",0,-79
"18:33:05 ",0,-74
"18:36:19 ",0,-72
"18:36:18 ",0,-75
"18:37:24 ",-1,-73
"18:43:25 ",-3,-75
"18:47:47 ",-3,-74
"18:51:38 ",0,-75
"18:36:41 ",0,-86
"18:45:37 ",0,-73
"18:38:37 ",0,-86
"18:36:31 ",0,-75
"18:33:31 ",0,-75
"18:41:46 ",0,-70
"18:48:16 ",0,-72
"18:34:45 ",-3,-72
"18:44:37 ",0,-83
"18:48:21 ",0,-72
"18:42:48 ",0,-81
"18:48:57 ",-5,-85
"18:39:18 ",0,-75
"18:48:26 ",0,-74
"18:43:35 ",0,-72
"18:41:16 ",0,-86
"18:47:51 ",-4,-89
"18:51:58 ",0,-72
"18:49:07 ",0,-74
"18:35:58 ",-6,-79
"18:34:38 ",0,-72
"18:37:55 ",0,-72
"18:37:58 ",0,-73
"18:39:55 ",-5,-72
"18:39:55 ",-5,-72
"18:46:25 ",-1,-72
"18:45:43 ",0,-74
"18:34:55 ",-1,-82
"18:44:28 ",0,-72
"18:38:10 ",0,-86
"18:48:47 ",0,-72
"18:39:08 ",0,-73
"18:43:02 ",-9,-75
"18:43:01 ",-8,-72
"18:43:13 ",0,-80
"18:45:06 ",0,-83
"18:34:17 ",0,-72
"18:41:29 ",-1,-88
"18:43:41 ",-1,-71
"18:44:19 ",0,-74
"18:50:52 ",0,-87
"18:49:17 ",0,-72
"18:35:42 ",0,-76
"18:37:45 ",-7,-83
"18:33:10 ",-8,-76
