"timestamp","rssi","rx"
"19:26:43 ",-20,-79
"19:23:33 ",-19,-83
"19:28:38 ",-18,-79
"19:23:43 ",-18,-79
"19:36:26 ",-17,-88
"19:22:09 ",-17,-84
"19:22:04 ",-20,-81
"19:28:17 ",-17,-85
"19:19:07 ",-22,-85
"19:29:09 ",-17,-86
"19:31:40 ",-18,-88
"19:31:45 ",-16,-83
"19:34:41 ",-17,-79
"19:27:03 ",-16,-90
"19:23:20 ",-22,-79
"19:30:20 ",-21,-85
"19:26:12 ",-17,-87
"19:28:28 ",-19,-86
"19:24:14 ",-17,-83
"19:26:02 ",-19,-79
"19:29:19 ",-18,-79
"19:32:31 ",-18,-90
"19:21:15 ",-17,-79
"19:24:35 ",-18,-79
"19:34:00 ",-19,-77
"19:20:54 ",-20,-92
"19:35:07 ",-19,-84
"19:22:34 ",-20,-79
"19:23:54 ",-19,-79
"19:29:29 ",-19,-79
"19:17:02 ",-21,-79
"19:25:51 ",-21,-80
"19:26:27 ",-18,-78
"19:24:47 ",-19,-81
"19:34:46 ",-19,-79
