"rssi","echo_time","01"
-35,178.65,10
-34,131.1,10
-34,113.94,10
-33,62.26,10
-33,136.05,10
-33,151.11,10
-33,87.3,10
-33,34.8,10
-33,83.46,10
-36,27.31,10
-33,113.7,10
-33,86.05,10
-35,138.36,10
-33,123.51,10
-37,124.9,10
-34,162.32,10
-33,31.09,10
-33,17.35,10
-35,79.79,10
-35,126.08,10
-35,127.35,10
-33,11.08,10
-33,113.58,10
-32,78.58,10
-34,18.55,10
-37,191.08,10
-35,201.07,10
-32,52.38,10
-36,298.58,10
-33,86.63,10
-34,194.71,10
-35,214.77,10
-33,124.75,10
-35,49.86,10
-35,149.88,10
-34,134.86,10
-35,79.81,10
-35,41.08,10
-35,144.9,10
-35,11.08,10
-37,21.13,10
-35,132.33,10
-34,316.09,10
-35,371.1,10
-35,14.79,10
-36,197.54,10
-33,101,10
-33,26.18,10
-36,231.11,10
-36,239.89,10
-38,311.01,10
-34,209.84,10
-35,81.08,10
-35,82.33,10
-37,309.87,10
-34,101.06,10
-38,242.39,10
-36,22.38,10
-35,246.15,10
-35,77.33,10
-33,18.06,10
-34,132.41,10
-34,86.1,10
-32,127.35,10
-33,52.29,10
-34,39.85,10
-35,121.07,10
-37,228.6,10
-34,113.59,10
-35,128.56,10
-36,127.34,10
-36,288.54,10
-34,128.6,10
-34,224.77,10
-32,66.1,10
-34,94.88,10
-37,142.31,10
-34,94.85,10
-33,16.13,10
-34,143.53,10
-36,147.36,10
-34,134.89,10
-33,206.13,10
-35,32.43,10
-33,77.32,10
-36,311.03,10
-34,92.39,10
-37,158.55,10
-36,204.81,10
-33,19.7,10
-33,28.55,10
-33,146.08,10
-37,198.57,10
-35,18.59,10
-34,127.37,10
-34,140.8,10
-33,44.86,10
-36,141.07,10
-35,204.87,10
-35,128.57,10
-34,134.73,10
-37,124.82,10
-37,63.71,10
-34,26.76,10
-33,121.07,10
-33,124.61,10
-35,84.85,10
-36,132.11,10
-34,139.85,10
-35,192.36,10
-35,96.1,10
-35,189.85,10
-32,138.61,10
-36,188.57,10
-35,42.41,10
-33,21.09,10
-37,269.88,10
-37,252,10
-37,147.28,10
-35,33.62,10
-34,58.69,10
-34,102.29,10
-34,313.65,10
-37,248.63,10
-34,137.42,10
-32,133.57,10
-35,213.56,10
-34,42.35,10
-35,122.35,10
-35,148.57,10
-35,25.34,10
-33,241.09,10
-35,234.03,10
-35,123.51,10
-33,192.6,10
-34,96.11,10
-34,153.84,10
-36,162.3,10
-37,169.8,10
-36,197.36,10
-35,156.05,10
-34,179.83,10
-34,206.1,10
-34,121.07,10
-34,157.34,10
-34,124.78,10
-36,241.11,10
-36,244.8,10
-34,142.38,10
-32,163.59,"09"
-34,307.39,"09"
-34,131.06,"09"
-37,149.82,"09"
-34,134.8,"09"
-35,183.62,"09"
-34,179.8,"09"
-37,248.56,"09"
-34,149.82,"09"
-35,191.1,"09"
-35,46.1,"09"
-35,47.42,"09"
-34,187.33,"09"
-34,192.37,"09"
-36,145.31,"09"
-37,133.53,"09"
-35,138.63,"09"
-34,19.74,"09"
-34,178.47,"09"
-35,183.43,"09"
-34,131.08,"09"
-36,137.29,"09"
-35,40.41,"09"
-34,242.34,"09"
-34,23.6,"09"
-33,141.05,"09"
-34,129.9,"09"
-35,139.86,"09"
-33,24.83,"09"
-33,131.09,"09"
-35,104.79,"09"
-36,181.08,"09"
-35,126.06,"09"
-36,242.34,"09"
-33,139.88,"09"
-35,249.79,"09"
-35,107.33,"09"
-36,148.58,"09"
-37,106.11,"09"
-35,111.05,"09"
-35,198.58,"09"
-34,119.86,"09"
-35,146.09,"09"
-34,176.1,"09"
-33,219.76,"09"
-33,171.04,"09"
-33,43.57,"09"
-36,181.11,"09"
-35,123.62,"09"
-36,117.36,"09"
-35,81.07,"09"
-34,209.89,"09"
-34,204.84,"09"
-36,151.15,"09"
-35,141.07,"09"
-34,24.46,"09"
-35,159.93,"09"
-36,207.38,"09"
-33,109.76,"09"
-39,131.12,"09"
-36,108.56,"09"
-36,187.38,"09"
-34,39.79,"09"
-36,132.34,"09"
-34,126.11,"09"
-34,181.12,"09"
-34,145.27,"09"
-34,102.37,"09"
-33,333.58,"09"
-35,37.34,"09"
-34,44.81,"09"
-33,126.11,"09"
-35,207.39,"09"
-34,24.88,"09"
-33,14.85,"09"
-36,122.32,"09"
-35,189.8,"09"
-36,142.36,"09"
-37,316.03,"09"
-35,244.87,"09"
-36,133.56,"09"
-36,178.57,"09"
-36,131.11,"09"
-35,22.38,"09"
-34,147.39,"09"
-33,43.68,"09"
-35,139.96,"09"
-35,92.35,"09"
-34,201.05,"09"
-36,198.54,"09"
-34,202.29,"09"
-35,42.41,"09"
-35,212.27,"09"
-36,131.1,"09"
-34,136.13,"09"
-35,131.07,"09"
-33,138.57,"09"
-33,78.12,"09"
-33,204.83,"09"
-36,347.3,"09"
-33,23.65,"09"
-35,186.09,"09"
-35,194.86,"09"
-34,193.47,"09"
-36,192.32,"09"
-33,163.62,"09"
-35,188.6,"09"
-34,78.67,"09"
-37,143.62,"09"
-34,139.91,"09"
-34,17.28,"09"
-34,122.4,"09"
-33,133.03,"09"
-34,136.06,"09"
-33,207.41,"09"
-35,36.12,"09"
-34,100.96,"09"
-34,32.29,"09"
-35,147.37,"09"
-36,109.78,"09"
-35,147.36,"09"
-35,199.84,"09"
-35,17.34,"09"
-35,143.55,"09"
-33,124.89,"09"
-33,39.85,"09"
-35,23.61,"09"
-34,12.31,"09"
-33,179.58,"09"
-35,101.02,"09"
-36,184.84,"09"
-35,125.99,"09"
-34,82.33,"09"
-35,131.08,"09"
-34,134.79,"09"
-34,187.4,"09"
-34,104.79,"09"
-37,128.6,"09"
-35,31.06,"09"
-32,133.57,"09"
-34,137.33,"09"
-35,123.59,"09"
-33,81.1,"09"
-34,55.99,"09"
-34,118.6,"09"
-35,133.61,"09"
-34,41.04,"09"
-32,168.46,"09"
-33,121.39,"09"
-34,21.1,"09"
-34,16.13,"09"
-33,189.87,"09"
-34,173.63,"09"
-36,171.04,"09"
-34,116.06,"09"
-35,127.31,"09"
-35,133.52,"09"
-35,143.64,"09"
-34,62.34,"09"
-33,84.66,"09"
-33,198.57,"09"
-35,13.6,"09"
-37,174.89,"09"
-34,129.96,"09"
-36,167.38,"09"
-33,116.14,"09"
-34,133.54,"09"
-35,27.34,"09"
-36,181.15,"09"
-33,142.92,"09"
-36,288.6,"09"
-36,138.62,"09"
-35,124.82,"09"
-35,106.13,"09"
-35,188.59,"09"
-32,21.09,"09"
-36,137.32,"09"
-34,13.59,"09"
-34,168.76,"09"
-34,252.02,"09"
-37,113.6,"09"
-35,294.84,"09"
-34,222.39,"09"
-32,57.3,"09"
-34,24.94,"09"
-34,129.63,"09"
-36,29.82,"09"
-35,83.89,"09"
-34,93.56,"09"
-34,34.83,"09"
-34,134.9,"09"
-33,13.65,"09"
-34,11.01,"09"
-35,131.1,"09"
-34,70.98,"09"
-35,234.85,"09"
-34,36.09,"09"
-35,132.35,"09"
-33,8.58,"09"
-37,364.77,"09"
-35,199.85,"09"
-35,238.6,"09"
-35,222.29,"09"
-35,236.16,"09"
-34,20.98,"09"
-34,246.05,"09"
-33,36.02,"09"
-36,198.6,"09"
-36,97.36,"09"
-34,17.36,"09"
-33,167.36,"09"
-35,156.05,"09"
-34,97.34,"09"
-35,246.08,"09"
-35,167.37,"09"
-34,86.12,"09"
-35,114.82,"09"
-33,113.57,"09"
-34,109.84,"09"
-34,173.62,"09"
-38,237.33,"09"
-35,203.6,"09"
-35,114.79,"09"
-36,307.34,"09"
-33,98.6,"09"
-35,14.94,"09"
-36,156.06,"09"
-34,116.81,"09"
-35,58.61,"09"
-35,151.13,"09"
-36,126.14,"09"
-34,133.6,"09"
-35,128.63,"09"
-36,37.31,"09"
-35,81.01,"09"
-35,174.84,"09"
-35,24.89,"09"
-33,137.41,"09"
-36,191.1,"09"
-34,47.3,"09"
-34,189.82,"09"
-35,158.53,"09"
-34,89.8,"09"
-35,136.1,"09"
-36,99.96,"09"
-35,141.09,"09"
-38,135.93,"09"
-35,142.37,"09"
-37,176.1,"09"
-35,308.61,"09"
-35,143.54,"09"
-37,151.08,"09"
-33,13.92,"09"
-33,231.08,"09"
-36,204.92,"09"
-35,218.51,"09"
-34,114.82,"09"
-36,166.08,"09"
-35,29.84,"09"
-35,209.86,"09"
-34,111.09,"09"
-34,339.99,"09"
-34,214.84,"09"
-34,143.57,"09"
-33,232.39,"09"
-35,218.52,"09"
-35,137.3,"09"
-36,246.08,"09"
-34,136.02,"09"
-34,137.38,"09"
-34,108.57,"09"
