"timestamp","rssi","rx"
"19:36:21 ",-22,-96
"19:23:31 ",-27,-96
"19:20:29 ",-22,-83
"19:17:17 ",-34,-100
"19:22:50 ",-26,-95
"19:19:45 ",-26,-86
"19:18:29 ",-29,-87
"19:33:02 ",-27,-96
"19:18:44 ",-28,-99
"19:22:19 ",-27,-96
"19:20:44 ",-30,-98
"19:19:10 ",-28,-94
"19:17:37 ",-29,-81
"19:17:32 ",-31,-94
"19:30:05 ",-23,-81
"19:19:50 ",-20,-82
"19:34:34 ",-21,-96
"19:31:24 ",-20,-83
"19:19:25 ",-25,-91
"19:22:39 ",-28,-90
"19:34:23 ",-24,-98
"19:25:23 ",-32,-91
"19:28:07 ",-20,-91
"19:26:22 ",-20,-97
"19:24:42 ",-26,-91
