"timestamp","rssi","rx"
"19:00:28 ",-15,-82
"18:58:23 ",-15,-81
"19:02:49 ",-15,-85
"19:02:44 ",-17,-82
"19:04:49 ",-20,-85
"19:03:10 ",-15,-81
"19:08:24 ",-17,-85
"18:55:26 ",-15,-83
"19:13:01 ",-17,-80
"18:56:48 ",-14,-83
"19:08:04 ",-17,-79
"19:08:50 ",-18,-83
"19:14:10 ",-15,-82
"19:11:36 ",-16,-83
"19:01:48 ",-17,-81
"19:01:42 ",-15,-83
"18:55:11 ",-15,-82
"18:55:52 ",-15,-82
"19:14:00 ",-15,-84
"18:58:07 ",-15,-84
"19:13:21 ",-15,-84
"19:10:55 ",-15,-83
"19:07:23 ",-16,-79
"18:57:09 ",-16,-79
"19:09:54 ",-15,-83
"18:55:01 ",-17,-80
"18:56:53 ",-15,-81
"19:00:44 ",-15,-81
"18:57:47 ",-16,-81
"18:55:42 ",-15,-81
"18:57:37 ",-15,-82
"18:57:32 ",-15,-81
"19:02:03 ",-16,-82
"19:01:22 ",-18,-80
"19:04:39 ",-16,-79
"18:58:59 ",-16,-83
