"timestamp","rssi","rx"
"18:36:08 ",0,-84
"18:37:39 ",0,-75
"18:46:13 ",-1,-63
"18:51:21 ",0,-66
"18:51:28 ",0,-71
"18:35:50 ",0,-62
"18:42:28 ",0,-61
"18:38:28 ",-2,-67
"18:35:33 ",0,-62
"18:51:06 ",0,-73
"18:39:30 ",0,-69
"18:33:45 ",0,-61
"18:34:27 ",0,-67
"18:47:30 ",-4,-67
"18:47:39 ",-3,-70
"18:40:24 ",0,-62
"18:44:03 ",0,-79
"18:44:04 ",-1,-84
"18:43:57 ",0,-66
"18:43:50 ",0,-61
"18:50:02 ",-1,-71
"18:37:21 ",0,-83
"18:37:26 ",0,-63
"18:46:09 ",0,-61
"18:41:07 ",0,-63
"18:44:48 ",-8,-70
"18:49:56 ",0,-83
"18:36:24 ",0,-71
"18:39:52 ",-1,-82
"18:51:29 ",0,-67
"18:40:46 ",0,-70
"18:32:46 ",0,-64
"18:42:45 ",0,-83
"18:42:49 ",-2,-70
"18:50:15 ",-11,-62
"18:35:15 ",0,-61
"18:46:40 ",0,-64
"18:37:11 ",0,-62
"18:34:00 ",-19,-69
"18:50:04 ",0,-79
"18:38:45 ",-9,-85
"18:35:58 ",0,-70
"18:46:03 ",0,-66
"18:46:56 ",0,-71
"18:45:26 ",-3,-62
"18:37:53 ",0,-68
"18:37:51 ",0,-71
"18:33:29 ",0,-63
"18:50:27 ",0,-79
"18:36:30 ",0,-66
"18:47:19 ",0,-65
"18:46:23 ",-4,-79
"18:45:44 ",0,-63
"18:49:47 ",0,-62
"18:38:19 ",0,-61
"18:48:36 ",0,-67
"18:48:36 ",0,-79
"18:51:16 ",-2,-61
"18:48:49 ",-6,-68
"18:39:07 ",0,-70
"18:37:03 ",0,-64
"18:33:51 ",-11,-83
"18:43:15 ",0,-83
"18:45:02 ",0,-62
"18:36:41 ",0,-62
"18:50:51 ",0,-70
"18:43:43 ",-4,-70
"18:40:33 ",0,-69
"18:40:35 ",0,-61
"18:43:49 ",-1,-79
"18:49:15 ",0,-70
"18:38:55 ",0,-66
"18:38:52 ",0,-67
"18:33:17 ",-3,-71
