"timestamp","rssi","rx","01"
"10:10:59 ",-4,-64,"01"
"10:17:28 ",0,-65,"01"
"10:13:09 ",-2,-66,"01"
"10:09:45 ",-6,-69,"01"
"10:10:18 ",-1,-66,"01"
"10:11:24 ",-4,-67,"01"
"10:15:10 ",-4,-68,"01"
"10:16:11 ",-1,-65,"01"
"10:17:02 ",-3,-59,"01"
"10:08:07 ",-5,-65,"01"
"10:11:58 ",0,-70,"01"
"10:08:48 ",0,-64,"01"
"10:11:50 ",0,-64,"01"
"10:07:57 ",-1,-59,"01"
"10:11:40 ",-3,-60,"01"
"10:08:12 ",-2,-66,"01"
"10:10:08 ",-1,-66,"01"
"10:29:35 ",-12,-88,"02"
"10:20:37 ",-14,-77,"02"
"10:22:35 ",-15,-77,"02"
"10:25:37 ",-15,-84,"02"
"10:21:59 ",-18,-84,"02"
"10:28:39 ",-17,-88,"02"
"10:23:31 ",-12,-72,"02"
"10:29:20 ",-15,-75,"02"
"10:24:33 ",-20,-86,"02"
"10:28:28 ",-20,-74,"02"
"10:27:17 ",-19,-72,"02"
"10:22:50 ",-14,-83,"02"
"10:25:16 ",-18,-72,"02"
"10:24:23 ",-19,-84,"02"
"10:21:39 ",-16,-71,"02"
"10:24:53 ",-17,-86,"02"
"10:37:44 ",-27,-80,"03"
"10:39:57 ",-29,-91,"03"
"10:36:07 ",-22,-82,"03"
"10:41:24 ",-28,-95,"03"
"10:41:29 ",-26,-80,"03"
"10:40:33 ",-26,-85,"03"
"10:40:38 ",-23,-80,"03"
"10:44:39 ",-31,-80,"03"
"10:45:20 ",-24,-93,"03"
"10:39:47 ",-28,-94,"03"
"10:36:19 ",-26,-87,"03"
"10:43:30 ",-22,-80,"03"
"10:35:41 ",-27,-87,"03"
"10:42:41 ",-26,-81,"03"
"10:40:20 ",-24,-95,"03"
"10:42:00 ",-25,-90,"03"
"10:37:18 ",-27,-94,"03"
"10:38:20 ",-27,-82,"03"
"10:40:48 ",-29,-90,"03"
"10:36:30 ",-22,-94,"03"
"10:40:07 ",-25,-83,"03"
"10:36:48 ",-27,-90,"03"
"10:42:26 ",-29,-92,"03"
"10:54:20 ",-26,-85,"04"
"10:55:16 ",-26,-90,"04"
"10:55:11 ",-24,-92,"04"
"10:56:56 ",-26,-87,"04"
"10:53:06 ",-26,-89,"04"
"10:57:55 ",-27,-87,"04"
"10:52:50 ",-26,-87,"04"
"10:55:57 ",-27,-87,"04"
"10:58:46 ",-23,-88,"04"
"10:50:24 ",-27,-85,"04"
"10:52:27 ",-27,-88,"04"
"10:57:34 ",-25,-90,"04"
"10:49:54 ",-27,-85,"04"
"10:57:45 ",-25,-84,"04"
"10:51:15 ",-26,-88,"04"
"10:55:47 ",-27,-89,"04"
"10:55:42 ",-27,-85,"04"
"10:51:05 ",-26,-88,"04"
"10:53:11 ",-25,-87,"04"
"11:11:24 ",-28,-90,"05"
"11:07:41 ",-30,-87,"05"
"11:04:01 ",-26,-87,"05"
"11:07:36 ",-27,-87,"05"
"11:11:39 ",-29,-102,"05"
"11:05:28 ",-26,-87,"05"
"11:12:25 ",-28,-89,"05"
"11:11:16 ",-26,-89,"05"
"11:08:12 ",-27,-88,"05"
"11:09:29 ",-30,-84,"05"
"11:10:45 ",-29,-90,"05"
"11:08:23 ",-29,-90,"05"
"11:03:51 ",-28,-95,"05"
"11:04:16 ",-25,-88,"05"
"11:07:56 ",-27,-88,"05"
"11:11:55 ",-30,-90,"05"
"11:12:46 ",-29,-93,"05"
"11:15:45 ",-24,-95,"06"
"11:20:44 ",-24,-93,"06"
"11:17:22 ",-25,-86,"06"
"11:19:51 ",-25,-85,"06"
"11:15:04 ",-29,-96,"06"
"11:22:22 ",-24,-86,"06"
"11:14:13 ",-25,-85,"06"
"11:16:10 ",-26,-98,"06"
"11:15:55 ",-28,-85,"06"
"11:19:20 ",-23,-89,"06"
"11:18:31 ",-24,-88,"06"
"11:18:39 ",-25,-85,"06"
"11:22:32 ",-24,-85,"06"
"11:17:32 ",-24,-93,"06"
"11:15:14 ",-26,-86,"06"
"11:21:05 ",-25,-85,"06"
"11:17:48 ",-30,-85,"06"
"11:18:21 ",-25,-84,"06"
"11:22:42 ",-22,-83,"06"
"11:23:44 ",-24,-86,"06"
"11:23:41 ",-25,-89,"06"
"11:14:31 ",-26,-95,"06"
"11:23:26 ",-23,-83,"06"
"11:17:56 ",-25,-85,"06"
"11:29:19 ",-26,-85,"07"
"11:30:26 ",-24,-89,"07"
"11:32:29 ",-25,-87,"07"
"11:32:54 ",-26,-91,"07"
"11:35:40 ",-24,-89,"07"
"11:28:23 ",-27,-88,"07"
"11:29:39 ",-25,-86,"07"
"11:30:46 ",-27,-85,"07"
"11:28:53 ",-25,-85,"07"
"11:28:43 ",-29,-86,"07"
"11:27:16 ",-27,-85,"07"
"11:35:25 ",-24,-85,"07"
"11:28:07 ",-25,-85,"07"
"11:41:13 ",-31,-95,"08"
"11:42:53 ",-35,-87,"08"
"11:41:23 ",-36,-90,"08"
"11:40:35 ",-34,-94,"08"
"11:41:03 ",-34,-88,"08"
"11:41:34 ",-38,-88,"08"
"11:42:22 ",-32,-88,"08"
"11:39:41 ",-35,-96,"08"
"11:39:46 ",-34,-87,"08"
"11:40:07 ",-33,-92,"08"
"11:59:52 ",-34,-98,"09"
"12:02:54 ",-35,-94,"09"
"11:56:14 ",-34,-95,"09"
"12:03:15 ",-35,-93,"09"
"12:02:00 ",-35,-97,"09"
"12:02:05 ",-36,-94,"09"
"11:54:24 ",-35,-95,"09"
"11:58:45 ",-35,-93,"09"
"12:02:43 ",-35,-97,"09"
"11:55:00 ",-34,-96,"09"
"12:02:38 ",-36,-93,"09"
"11:56:30 ",-36,-95,"09"
"12:03:30 ",-33,-97,"09"
"11:55:15 ",-35,-95,"09"
"11:58:20 ",-34,-94,"09"
"11:59:01 ",-34,-99,"09"
"11:58:10 ",-35,-94,"09"
"12:02:13 ",-36,-95,"09"
"12:15:50 ",-35,-96,10
"12:16:35 ",-33,-98,10
"12:15:03 ",-33,-99,10
"12:13:54 ",-32,-98,10
"12:15:49 ",-34,-99,10
"12:17:42 ",-32,-99,10
"12:12:42 ",-37,-95,10
"12:15:19 ",-36,-93,10
