"timestamp","rssi","rx"
"19:17:03 ",-2,-87
"19:17:03 ",-2,-86
"19:17:07 ",-3,-85
"19:17:15 ",-2,-85
"19:17:30 ",-15,-87
"19:17:38 ",-11,-93
"19:18:01 ",-4,-95
"19:18:17 ",-5,-85
"19:18:29 ",-18,-86
"19:18:43 ",-3,-90
"19:19:07 ",-6,-91
"19:19:13 ",-6,-95
"19:19:26 ",-3,-87
"19:19:33 ",-4,-86
"19:19:44 ",-8,-93
"19:19:52 ",-6,-86
"19:20:14 ",-3,-86
"19:20:35 ",-5,-86
"19:20:51 ",-3,-90
"19:21:02 ",-1,-85
"19:21:02 ",-1,-88
"19:21:32 ",-2,-88
"19:22:12 ",-16,-92
"19:22:17 ",-8,-87
"19:22:27 ",-12,-88
"19:22:40 ",-11,-91
"19:22:48 ",-2,-86
"19:22:51 ",-3,-98
"19:23:17 ",-5,-92
"19:23:18 ",-2,-96
"19:23:21 ",-6,-93
"19:23:30 ",-1,-87
"19:23:33 ",-9,-86
"19:23:43 ",-12,-91
"19:24:02 ",-2,-86
"19:24:33 ",-9,-92
"19:24:52 ",-2,-86
"19:24:53 ",-7,-87
"19:25:05 ",-8,-89
"19:25:20 ",-11,-88
"19:25:47 ",-13,-87
"19:25:58 ",-6,-93
"19:26:05 ",-3,-92
"19:26:07 ",-17,-86
"19:26:24 ",-5,-90
"19:26:32 ",0,-86
"19:27:37 ",-5,-91
"19:27:41 ",-3,-92
"19:27:45 ",-7,-92
"19:27:51 ",-1,-86
"19:28:02 ",-5,-89
"19:28:59 ",-8,-92
"19:29:01 ",-10,-86
"19:29:12 ",-4,-88
"19:29:23 ",-11,-87
"19:29:26 ",-3,-88
"19:29:37 ",-12,-86
"19:29:41 ",-8,-87
"19:30:00 ",-4,-88
"19:30:21 ",-8,-92
"19:30:26 ",-1,-92
"19:30:37 ",0,-87
"19:30:47 ",-14,-89
"19:30:54 ",-6,-87
"19:30:59 ",-7,-85
"19:31:08 ",-10,-92
"19:32:23 ",-12,-87
"19:32:35 ",-12,-86
"19:32:46 ",-13,-89
"19:32:51 ",-5,-89
"19:33:05 ",-8,-90
"19:33:12 ",-15,-87
"19:33:53 ",-7,-87
"19:33:55 ",-11,-87
"19:34:09 ",-10,-90
"19:34:25 ",-6,-92
"19:34:52 ",-6,-86
"19:34:56 ",-14,-86
"19:35:23 ",-7,-94
"19:35:29 ",-5,-88
"19:35:31 ",-4,-86
"19:35:50 ",-6,-86
"19:35:58 ",-14,-91
"19:36:10 ",0,-88
