"timestamp","rx","rx"
"11:23:01",-67,-89
"11:23:01",-66,-89
"11:23:01",-67,-89
"11:23:01",-68,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-66,-89
"11:23:01",-66,-89
"11:23:01",-66,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-69,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-66,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-66,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-69,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-67,-89
"11:23:01",-68,-89
"11:23:01",-67,-89
"11:23:01",-64,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-64,-89
"11:23:01",-67,-89
"11:23:01",-68,-89
"11:23:01",-68,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-67,-89
"11:23:01",-66,-89
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-67,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-67,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-67,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-67,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-67,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-67,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:49",-66,-83
"11:26:59",-67,-84
"11:26:59",-65,-84
"11:26:59",-66,-84
"11:26:59",-66,-84
"11:26:59",-66,-84
"11:26:59",-66,-84
"11:26:59",-66,-84
"11:29:02",-64,-73
"11:30:19",-71,-89
"11:30:19",-72,-89
"11:30:19",-71,-89
"11:30:19",-72,-89
"11:30:19",-71,-89
"11:30:19",-71,-89
"11:30:19",-71,-89
"11:30:19",-71,-89
