"rssi","rx"
11,-29
11,-28
11,-30
11,-32
11,-25
11,-27
11,-34
11,-31
11,-33
5,-33
5,-34
5,-32
5,-30
5,-31
5,-37
5,-39
0,-40
0,-39
0,-41
0,-38
0,-42
0,-35
0,-37
0,-34
0,-32
0,-43
0,-33
0,-36
0,-31
0,-44
0,-66
0,-30
0,-29
0,-67
0,-45
0,-46
0,-50
0,-51
0,-59
0,-47
0,-49
0,-48
0,-52
0,-53
0,-56
0,-63
0,-64
0,-58
0,-60
0,-70
0,-61
0,-54
0,-55
0,-57
0,-80
0,-62
0,-73
0,-65
-1,-42
-1,-43
-1,-39
-1,-41
-1,-40
-1,-38
-9,-39
-9,-37
-9,-38
-9,-40
-9,-41
-3,-46
-3,-45
-3,-50
-3,-55
-3,-47
-3,-44
-3,-49
-3,-51
-3,-57
-1,-45
-1,-46
-1,-47
0,-68
0,-82
-1,-51
-1,-48
-1,-52
-1,-53
-1,-49
-1,-54
-1,-50
-1,-55
-1,-56
-2,-53
-2,-50
-2,-55
-2,-58
-2,-56
-2,-57
-2,-54
-2,-51
-2,-52
-2,-66
-2,-65
-3,-53
-3,-58
-3,-64
-3,-59
-3,-74
-3,-52
-8,-52
-8,-51
-8,-50
-8,-49
-8,-57
-8,-66
-8,-81
-8,-54
-8,-53
-8,-58
-15,-57
-15,-53
-15,-52
-15,-56
-15,-66
-4,-52
-4,-51
-4,-48
-4,-50
-4,-58
-4,-56
-4,-57
-4,-53
-4,-54
-4,-55
-2,-48
-2,-47
0,-72
-2,-49
-1,-58
-1,-57
-1,-67
-1,-74
-1,-61
-2,-64
-2,-63
-6,-55
-6,-56
-6,-64
-6,-68
-6,-51
-6,-57
-6,-61
-6,-52
-12,-57
-12,-62
-12,-61
-12,-67
-12,-56
-12,-55
-12,-51
-12,-52
-12,-60
-3,-65
-3,-66
-3,-67
-3,-63
-8,-67
-8,-65
-8,-64
-8,-63
-8,-70
-8,-73
-8,-62
-7,-65
-7,-64
-7,-66
-7,-68
-7,-63
-7,-62
-11,-60
-11,-63
-11,-61
-11,-66
-11,-58
-11,-57
-11,-62
-11,-64
-11,-65
-8,-61
-8,-59
-8,-78
-8,-68
-7,-69
-7,-70
-7,-72
-7,-71
-7,-67
-7,-74
-5,-63
-5,-66
-5,-67
-5,-80
-5,-68
-5,-65
-9,-67
-9,-68
-9,-65
-9,-69
-9,-71
-9,-73
-9,-66
-9,-63
-9,-72
-9,-62
-9,-64
-9,-61
-13,-63
-13,-65
-13,-64
-13,-67
-13,-66
-13,-68
-13,-70
-12,-70
-12,-71
-12,-66
-12,-65
-12,-68
-12,-69
-12,-63
-9,-60
-9,-59
-5,-64
-5,-72
-5,-71
-5,-70
-7,-61
-9,-70
-10,-70
-10,-67
-7,-73
-5,-76
-5,-69
-5,-77
-4,-66
-4,-67
-4,-75
-4,-73
-4,-72
-4,-70
-4,-69
-2,-67
-2,-68
-6,-67
-6,-66
-6,-70
-6,-65
-4,-71
-4,-68
-4,-74
-4,-77
-4,-76
-4,-65
-4,-64
-4,-63
-4,-62
-8,-69
-8,-72
-16,-70
-16,-69
-16,-71
-9,-74
-9,-81
-9,-78
-6,-69
-6,-63
-6,-62
-2,-62
-2,-71
-6,-77
-6,-75
-6,-72
-6,-73
-6,-76
-5,-75
-5,-74
-5,-79
-5,-62
-4,-83
-5,-73
-5,-61
-4,-60
-4,-61
-3,-62
-3,-61
-3,-60
-3,-68
-2,-61
-2,-78
-2,-79
0,-71
0,-69
0,-74
-12,-58
-12,-59
-12,-64
-10,-63
-10,-62
-10,-61
-10,-65
-10,-64
-10,-60
-7,-60
-14,-63
-14,-64
-14,-61
-14,-65
-14,-62
-11,-67
-7,-81
-10,-71
-10,-77
-10,-66
-10,-68
-10,-73
-8,-74
-8,-71
-8,-75
-18,-64
-18,-65
-18,-82
-18,-63
-18,-80
-18,-62
-15,-65
-15,-64
-15,-63
-15,-82
-15,-61
-15,-78
-15,-79
-15,-75
-15,-77
-14,-72
-14,-77
-14,-75
-8,-76
-10,-87
-10,-74
-10,-69
-10,-75
-10,-72
-10,-76
-17,-75
-17,-70
-17,-65
-17,-66
-17,-74
-17,-68
-17,-69
-17,-73
-17,-72
-17,-67
-17,-71
-8,-80
-8,-79
-14,-69
-14,-68
-14,-70
-14,-67
-14,-66
-14,-71
-16,-75
-16,-67
-16,-74
-16,-72
-16,-77
-16,-73
-12,-72
-12,-73
-13,-74
-13,-71
-13,-73
-13,-72
-13,-69
-13,-77
-13,-79
-13,-78
-10,-79
-13,-75
-11,-69
-11,-70
-11,-68
-11,-72
-11,-73
-11,-77
-11,-71
-11,-74
-11,-79
-19,-72
-19,-73
-19,-71
-19,-74
-19,-76
-19,-81
-19,-77
-20,-72
-20,-73
-20,-82
-20,-71
-20,-75
-20,-74
-12,-75
-12,-74
-12,-76
-18,-68
-18,-67
-18,-66
-18,-70
-19,-68
-19,-66
-19,-67
-19,-65
-19,-64
-19,-69
-16,-65
-16,-64
-16,-81
-16,-66
