"mac_address",rasp,rx,"timestamp",sn
"C8:14:79:31:3C:2A",1,-79,"09:31:21.043",93
"C8:14:79:31:3C:2A",1,-69,"09:31:21.981",2994
"C8:14:79:31:3C:2A",1,-66,"09:31:22.191",2995
"C8:14:79:31:3C:2A",1,-70,"09:31:22.407",2996
"C8:14:79:31:3C:2A",1,-69,"09:31:22.654",2997
"C8:14:79:31:3C:2A",1,-65,"09:31:33.249",2998
"C8:14:79:31:3C:2A",1,-66,"09:31:33.482",2999
"C8:14:79:31:3C:2A",1,-67,"09:31:33.675",3000
"C8:14:79:31:3C:2A",1,-63,"09:31:36.122",100
"C8:14:79:31:3C:2A",1,-58,"09:31:40.425",104
"C8:14:79:31:3C:2A",1,-65,"09:31:52.097",3001
"C8:14:79:31:3C:2A",1,-60,"09:32:02.621",138
"C8:14:79:31:3C:2A",1,-60,"09:32:02.641",140
"C8:14:79:31:3C:2A",1,-69,"09:32:08.700",3002
"C8:14:79:31:3C:2A",1,-69,"09:32:08.824",3003
"C8:14:79:31:3C:2A",1,-64,"09:32:22.455",3005
"C8:14:79:31:3C:2A",1,-65,"09:32:27.028",3007
"C8:14:79:31:3C:2A",1,-69,"09:32:31.512",161
"C8:14:79:31:3C:2A",1,-59,"09:32:36.350",3008
"C8:14:79:31:3C:2A",1,-59,"09:32:36.368",3009
"C8:14:79:31:3C:2A",1,-62,"09:32:36.763",3010
"C8:14:79:31:3C:2A",1,-69,"09:32:42.568",193
"C8:14:79:31:3C:2A",1,-58,"09:32:42.659",197
"C8:14:79:31:3C:2A",1,-55,"09:32:42.676",199
"C8:14:79:31:3C:2A",1,-56,"09:32:42.697",201
"C8:14:79:31:3C:2A",1,-58,"09:32:42.773",203
"C8:14:79:31:3C:2A",1,-58,"09:32:42.794",204
"DC:A9:04:4F:D9:35",1,-48,"09:29:32.718",3032
"DC:A9:04:4F:D9:35",1,-48,"09:29:32.998",3067
"DC:A9:04:4F:D9:35",1,-49,"09:29:37.544",2002
"DC:A9:04:4F:D9:35",1,-63,"09:30:52.390",1091
"DC:A9:04:4F:D9:35",1,-59,"09:30:55.521",2104
"DC:A9:04:4F:D9:35",1,-56,"09:31:48.637",3526
"DC:A9:04:4F:D9:35",1,-53,"09:32:18.297",1390
"E0:DB:10:9B:D9:E2",1,-69,"09:30:07.064",1083
"E0:DB:10:9B:D9:E2",1,-69,"09:30:07.108",1084
"E0:DB:10:9B:D9:E2",1,-72,"09:30:07.232",1087
"84:11:9E:FD:16:B3",1,-56,"09:28:14.580",139
"84:11:9E:FD:16:B3",1,-58,"09:28:17.706",140
"84:11:9E:FD:16:B3",1,-63,"09:28:17.967",141
"84:11:9E:FD:16:B3",1,-61,"09:28:18.055",146
"84:11:9E:FD:16:B3",1,-59,"09:28:18.103",147
"84:11:9E:FD:16:B3",1,-61,"09:28:18.186",151
"84:11:9E:FD:16:B3",1,-61,"09:28:18.232",152
"84:11:9E:FD:16:B3",1,-59,"09:28:18.316",157
"84:11:9E:FD:16:B3",1,-58,"09:28:18.330",3271
"84:11:9E:FD:16:B3",1,-57,"09:28:18.365",158
"84:11:9E:FD:16:B3",1,-75,"09:28:18.431",162
"84:11:9E:FD:16:B3",1,-56,"09:28:18.452",163
"84:11:9E:FD:16:B3",1,-57,"09:28:18.495",164
"84:11:9E:FD:16:B3",1,-64,"09:28:18.538",167
"84:11:9E:FD:16:B3",1,-64,"09:28:18.559",168
"84:11:9E:FD:16:B3",1,-58,"09:28:18.585",169
"84:11:9E:FD:16:B3",1,-64,"09:28:18.626",171
"84:11:9E:FD:16:B3",1,-64,"09:28:18.653",172
"84:11:9E:FD:16:B3",1,-57,"09:28:18.716",175
"84:11:9E:FD:16:B3",1,-56,"09:28:18.760",176
"84:11:9E:FD:16:B3",1,-58,"09:28:18.846",181
"84:11:9E:FD:16:B3",1,-58,"09:28:19.947",182
"84:11:9E:FD:16:B3",1,-58,"09:28:19.948",194
"84:11:9E:FD:16:B3",1,-57,"09:28:19.967",207
"84:11:9E:FD:16:B3",1,-58,"09:28:20.257",213
"84:11:9E:FD:16:B3",1,-57,"09:28:20.281",215
"84:11:9E:FD:16:B3",1,-57,"09:28:21.138",216
"84:11:9E:FD:16:B3",1,-56,"09:28:21.139",221
"84:11:9E:FD:16:B3",1,-55,"09:28:21.145",225
"84:11:9E:FD:16:B3",1,-57,"09:28:21.183",226
"84:11:9E:FD:16:B3",1,-58,"09:28:21.683",227
"84:11:9E:FD:16:B3",1,-58,"09:28:21.684",228
"84:11:9E:FD:16:B3",1,-59,"09:28:21.686",245
"84:11:9E:FD:16:B3",1,-59,"09:28:21.723",246
"84:11:9E:FD:16:B3",1,-57,"09:28:21.921",251
"84:11:9E:FD:16:B3",1,-59,"09:28:21.923",253
"84:11:9E:FD:16:B3",1,-58,"09:28:21.937",257
