"rssi","rx"
-27,-78
-27,-78
-27,-78
-27,-78
-26,-75
-26,-75
-26,-76
-26,-76
-25,-75
-25,-75
-25,-76
-25,-75
-25,-75
-25,-75
-25,-79
-25,-80
-25,-78
-25,-78
-25,-79
-25,-81
-25,-80
-26,-76
-26,-75
-26,-75
-27,-72
-27,-72
-19,-76
-19,-75
-19,-75
-19,-75
-19,-74
-21,-75
-21,-76
-19,-75
-19,-75
-19,-74
-19,-74
-21,-75
-21,-75
-21,-75
-21,-75
-21,-76
-24,-75
-24,-76
-24,-75
-24,-75
-24,-75
-24,-76
-18,-76
-18,-75
-18,-77
-18,-76
-18,-76
-24,-76
-24,-76
-24,-76
-24,-75
-24,-76
-21,-73
-21,-73
-21,-74
-21,-74
-26,-76
-26,-75
-26,-75
-26,-75
-26,-76
-22,-80
-22,-80
-22,-80
-22,-80
-22,-80
-22,-80
-18,-78
-18,-78
-18,-79
-18,-78
-18,-77
-22,-78
-22,-78
-22,-77
-22,-77
-22,-78
-22,-77
-21,-79
-21,-78
-21,-79
-21,-79
-21,-79
-21,-79
-21,-85
-25,-81
-25,-81
-25,-82
-25,-81
-25,-81
-25,-81
-25,-81
-25,-81
-23,-80
-23,-80
-23,-79
-23,-79
-23,-80
-23,-79
-23,-79
-23,-79
-23,-80
-21,-77
-21,-78
-21,-77
-21,-78
-21,-78
-23,-78
-23,-78
-23,-78
-24,-79
-24,-80
-24,-79
-24,-79
-24,-79
-23,-81
-23,-81
-23,-81
-24,-81
-24,-81
-24,-81
-24,-82
-23,-81
-23,-82
-23,-81
-23,-81
-20,-80
-20,-79
-20,-79
-22,-80
-22,-80
-22,-79
-22,-79
-22,-79
-26,-80
-26,-80
-26,-80
-26,-80
-23,-83
-23,-82
-23,-82
-25,-80
-25,-81
-25,-81
-25,-81
-25,-80
-20,-72
-20,-74
-20,-74
-21,-76
-21,-75
-21,-75
-27,-76
-27,-76
-27,-74
-27,-74
-27,-73
-25,-73
-25,-73
-25,-72
-27,-75
-27,-75
-27,-75
-27,-75
-27,-75
-22,-71
-22,-71
-22,-71
-22,-71
-22,-71
-18,-68
-18,-67
-18,-67
-18,-68
-21,-67
-21,-67
-21,-67
-21,-67
-22,-69
-22,-69
-22,-69
-22,-70
-22,-69
-22,-69
-22,-69
-22,-68
-23,-69
-23,-69
-23,-69
-23,-69
-23,-69
-20,-69
-20,-68
-20,-68
-20,-69
-20,-69
-20,-69
-18,-70
-18,-70
-18,-71
-18,-70
-18,-71
-19,-72
-19,-72
-19,-71
-19,-72
-19,-72
-24,-71
-24,-71
-24,-71
-24,-71
-24,-71
-24,-71
-25,-72
-25,-71
-25,-72
-25,-72
-25,-72
-22,-71
-22,-73
-22,-72
-22,-73
-22,-71
-19,-71
-19,-72
-19,-71
-19,-71
-19,-71
-21,-70
-21,-70
-21,-70
-21,-71
-21,-70
-21,-70
-21,-69
-21,-70
-21,-69
-21,-70
-27,-71
-27,-71
-27,-71
-27,-70
-27,-71
-20,-70
-20,-70
-20,-70
-20,-70
-20,-69
-20,-70
-20,-70
-20,-69
-23,-68
-23,-68
-23,-68
-23,-71
-23,-70
-23,-70
-24,-72
-24,-72
-24,-72
-24,-72
-24,-72
-22,-71
-22,-71
-22,-71
-22,-71
-24,-72
-24,-72
-24,-73
-24,-72
-24,-73
-24,-72
-24,-72
-23,-71
-23,-72
-23,-73
-23,-72
-23,-72
-27,-71
-27,-72
-27,-72
-27,-71
-27,-72
-25,-71
-25,-71
-25,-71
-25,-72
-22,-72
-22,-71
-25,-71
-25,-73
-25,-72
-25,-73
-22,-71
-22,-71
-22,-70
-22,-70
-22,-71
-22,-70
-22,-71
-22,-71
-22,-71
-22,-71
-23,-72
-23,-72
-23,-72
-23,-72
-23,-73
-23,-74
-23,-74
-23,-74
-23,-74
-23,-74
-25,-74
-25,-75
-25,-76
-25,-75
-25,-77
-25,-75
-25,-75
-25,-75
-25,-76
-22,-75
-22,-75
-22,-84
-22,-74
-23,-77
-23,-77
-23,-77
-23,-77
-16,-69
-16,-70
-16,-72
-16,-73
-25,-75
-25,-75
-25,-77
-25,-77
-24,-78
-24,-78
-24,-78
-24,-78
-24,-78
-26,-77
-26,-78
-26,-77
-26,-76
-26,-77
-27,-78
-27,-77
-27,-77
-27,-78
-32,-74
-32,-73
-32,-73
-32,-74
-32,-74
-32,-74
-32,-74
-31,-75
-31,-75
-31,-75
-31,-75
-27,-75
-27,-75
-27,-75
-27,-75
-27,-76
-27,-75
-27,-75
-27,-75
-27,-76
-30,-75
-30,-75
-30,-75
-30,-75
-29,-76
-29,-75
-29,-75
-29,-75
-29,-75
-29,-75
-29,-76
-29,-76
-29,-77
-29,-77
-29,-77
-29,-79
-29,-80
-29,-79
-29,-80
-24,-76
-24,-76
-24,-76
-24,-76
-24,-76
-23,-77
-23,-77
-23,-77
-23,-77
-23,-77
-26,-80
-26,-81
-26,-81
-26,-82
-20,-76
-20,-77
-20,-76
-20,-77
-20,-78
-21,-79
-21,-79
-21,-79
-21,-79
-21,-80
-19,-81
-19,-82
-19,-83
-19,-82
-19,-84
-19,-81
-19,-83
-19,-82
-21,-79
-21,-79
-21,-80
-21,-80
-21,-80
-20,-82
-20,-81
-20,-82
-20,-81
-20,-82
-20,-81
-19,-83
-19,-81
-19,-81
-19,-80
-19,-80
-19,-81
-18,-78
-18,-78
-18,-78
-18,-79
-17,-78
-17,-79
-17,-79
-17,-79
-17,-80
-19,-78
-19,-78
-19,-77
-21,-80
-21,-80
-21,-81
-21,-82
-21,-83
-21,-80
-21,-80
-21,-80
-24,-78
-24,-78
-24,-78
-24,-79
-23,-79
-23,-79
-23,-79
-23,-79
-23,-79
-25,-80
