"mac_address",rasp,rx,"timestamp",sn
"C8:14:79:31:3C:2A",1,-53,"10:52:55.708",295
"C8:14:79:31:3C:2A",1,-53,"10:52:55.721",297
"C8:14:79:31:3C:2A",1,-53,"10:52:57.613",298
"C8:14:79:31:3C:2A",1,-54,"10:52:57.934",300
"C8:14:79:31:3C:2A",1,-53,"10:52:57.958",301
"C8:14:79:31:3C:2A",1,-54,"10:52:59.179",303
"C8:14:79:31:3C:2A",1,-54,"10:52:59.758",305
"C8:14:79:31:3C:2A",1,-55,"10:52:59.794",307
"C8:14:79:31:3C:2A",1,-54,"10:53:00.191",308
"C8:14:79:31:3C:2A",1,-52,"10:53:00.278",309
"C8:14:79:31:3C:2A",1,-53,"10:53:00.605",310
"C8:14:79:31:3C:2A",1,-54,"10:53:00.621",311
"C8:14:79:31:3C:2A",1,-50,"10:53:03.712",65
"C8:14:79:31:3C:2A",1,-48,"10:53:03.831",67
"C8:14:79:31:3C:2A",1,-48,"10:53:19.311",100
"C8:14:79:31:3C:2A",1,-55,"10:53:19.316",101
"C8:14:79:31:3C:2A",1,-51,"10:53:19.995",105
"C8:14:79:31:3C:2A",1,-51,"10:53:19.998",107
"C8:14:79:31:3C:2A",1,-58,"10:53:20.000",108
"C8:14:79:31:3C:2A",1,-63,"10:53:23.891",312
"C8:14:79:31:3C:2A",1,-61,"10:53:46.437",124
"C8:14:79:31:3C:2A",1,-65,"10:53:47.016",314
"C8:14:79:31:3C:2A",1,-66,"10:53:47.122",316
"C8:14:79:31:3C:2A",1,-66,"10:53:47.136",317
"C8:14:79:31:3C:2A",1,-65,"10:53:47.304",320
"C8:14:79:31:3C:2A",1,-64,"10:53:47.311",322
"C8:14:79:31:3C:2A",1,-64,"10:53:47.314",321
"C8:14:79:31:3C:2A",1,-61,"10:53:47.618",323
"C8:14:79:31:3C:2A",1,-60,"10:53:48.526",325
"C8:14:79:31:3C:2A",1,-64,"10:53:53.533",327
"C8:14:79:31:3C:2A",1,-64,"10:53:59.332",158
"C8:14:79:31:3C:2A",1,-62,"10:53:59.348",159
"C8:14:79:31:3C:2A",1,-60,"10:53:59.378",162
"C8:14:79:31:3C:2A",1,-61,"10:53:59.397",164
"C8:14:79:31:3C:2A",1,-61,"10:53:59.489",167
"C8:14:79:31:3C:2A",1,-62,"10:54:23.277",328
