"timestamp","rx"
"10:43:23",-39
"10:43:26",-37
"10:43:29",-42
"10:43:34",-41
"10:43:34",-40
"10:43:39",-43
"10:44:09",-57
"10:44:09",-53
"10:44:19",-43
"10:44:49",-42
"10:44:50",-45
"10:44:50",-44
"10:44:51",-48
"10:44:51",-47
"10:44:51",-47
"10:44:52",-48
"10:44:52",-48
"10:44:52",-48
"10:44:52",-44
"10:44:52",-48
"10:44:52",-48
"10:44:53",-48
"10:44:53",-48
"10:44:53",-48
"10:44:53",-48
"10:44:53",-48
"10:44:53",-48
"10:44:54",-48
"10:44:54",-48
"10:44:54",-48
"10:44:54",-48
"10:44:54",-48
"10:44:55",-48
"10:44:55",-48
"10:44:55",-48
"10:44:57",-48
"10:44:57",-49
"10:44:57",-48
"10:44:57",-49
"10:44:57",-48
"10:44:58",-48
"10:44:58",-48
"10:44:59",-48
"10:44:59",-48
"10:44:59",-48
"10:45:00",-48
"10:45:00",-48
"10:45:01",-48
"10:45:01",-49
"10:45:02",-49
"10:45:02",-49
"10:45:05",-48
"10:45:05",-48
"10:45:06",-48
"10:45:09",-48
"10:45:11",-43
"10:45:23",-48
"10:45:23",-48
"10:45:24",-47
"10:45:24",-48
"10:45:24",-47
"10:45:25",-47
"10:45:25",-46
"10:45:25",-47
"10:45:25",-46
"10:45:25",-46
"10:45:25",-47
"10:45:25",-48
"10:45:25",-47
"10:45:25",-48
"10:45:26",-47
"10:45:26",-47
"10:45:26",-47
"10:45:26",-47
"10:45:26",-47
"10:45:26",-47
"10:45:26",-48
"10:45:26",-48
"10:45:26",-47
"10:45:26",-48
"10:45:27",-47
"10:45:27",-47
"10:45:27",-47
"10:45:27",-69
"10:45:27",-47
"10:45:27",-46
"10:45:27",-48
"10:45:27",-47
"10:45:27",-46
"10:45:28",-47
"10:45:28",-48
"10:45:28",-46
"10:45:28",-48
"10:45:28",-47
"10:45:28",-47
"10:45:28",-48
"10:45:28",-47
"10:45:28",-48
"10:45:29",-45
"10:45:29",-47
"10:45:29",-46
"10:45:29",-46
"10:45:29",-48
"10:45:29",-48
"10:45:29",-46
"10:45:29",-47
"10:45:29",-46
"10:45:29",-47
"10:45:30",-47
"10:45:30",-48
"10:45:30",-48
"10:45:30",-46
"10:45:30",-47
"10:45:30",-48
"10:45:30",-47
"10:45:30",-47
"10:45:30",-46
"10:45:49",-48
"10:45:49",-48
"10:45:49",-48
"10:45:50",-42
"10:45:50",-47
"10:45:50",-47
"10:45:50",-47
"10:45:50",-47
"10:45:50",-47
"10:45:50",-48
"10:45:51",-48
"10:45:51",-48
"10:45:51",-47
"10:45:51",-47
"10:45:51",-47
"10:45:51",-48
"10:45:51",-47
"10:45:51",-47
"10:45:51",-46
"10:45:52",-47
"10:45:52",-46
"10:45:52",-46
"10:45:52",-47
"10:45:52",-47
"10:45:52",-47
"10:45:52",-47
"10:45:52",-48
"10:45:52",-46
"10:45:53",-47
"10:45:53",-48
"10:45:53",-46
"10:45:53",-47
"10:45:53",-46
"10:45:53",-46
"10:45:53",-46
"10:45:53",-47
"10:45:53",-47
"10:45:53",-47
"10:45:54",-46
"10:45:54",-46
"10:45:54",-48
"10:45:54",-46
"10:45:54",-46
"10:45:54",-46
"10:45:54",-48
"10:45:54",-47
"10:45:54",-46
"10:45:55",-48
"10:45:55",-48
"10:45:55",-46
"10:45:55",-47
"10:45:55",-46
"10:45:55",-47
"10:45:55",-47
"10:45:55",-47
"10:45:55",-47
"10:45:56",-46
"10:45:56",-48
"10:45:56",-48
"10:45:56",-46
"10:45:56",-48
"10:45:56",-47
"10:45:56",-47
"10:45:56",-46
"10:45:56",-46
"10:45:57",-48
"10:45:57",-48
"10:45:57",-46
"10:45:57",-47
"10:45:57",-48
"10:45:57",-47
"10:45:57",-47
"10:45:57",-47
"10:45:57",-46
"10:45:57",-47
"10:45:58",-47
"10:45:58",-48
"10:45:58",-47
"10:45:58",-48
"10:45:58",-46
"10:45:58",-47
"10:45:58",-48
"10:45:58",-47
"10:45:59",-47
"10:45:59",-47
"10:45:59",-47
"10:45:59",-47
"10:45:59",-47
"10:46:09",-48
"10:46:22",-44
"10:46:22",-47
"10:46:22",-48
"10:46:23",-44
"10:46:23",-47
"10:46:23",-46
"10:46:23",-47
"10:46:23",-47
"10:46:23",-46
"10:46:24",-48
"10:46:24",-47
"10:46:24",-46
"10:46:24",-47
"10:46:24",-48
"10:46:24",-48
"10:46:24",-47
"10:46:24",-46
"10:46:24",-48
"10:46:25",-46
"10:46:25",-47
"10:46:25",-46
"10:46:25",-48
"10:46:25",-46
"10:46:25",-47
"10:46:25",-47
"10:46:25",-47
"10:46:25",-47
"10:46:26",-46
"10:46:26",-46
"10:46:26",-46
"10:46:26",-47
"10:46:26",-48
"10:46:26",-47
"10:46:26",-48
"10:46:26",-47
"10:46:26",-47
"10:46:27",-46
"10:46:27",-47
"10:46:27",-46
"10:46:27",-47
"10:46:27",-47
"10:46:27",-46
"10:46:27",-46
"10:46:27",-47
"10:46:27",-48
"10:46:28",-46
"10:46:28",-46
"10:46:28",-46
"10:46:28",-47
"10:46:28",-46
"10:46:28",-46
"10:46:28",-46
"10:46:28",-46
"10:46:28",-46
"10:46:29",-48
"10:46:29",-47
"10:46:29",-46
"10:46:29",-47
"10:46:29",-47
"10:46:29",-43
"10:46:39",-48
"10:46:59",-47
"10:47:00",-47
"10:47:00",-47
"10:47:00",-44
"10:47:01",-47
"10:47:01",-47
"10:47:01",-47
"10:47:01",-47
"10:47:01",-47
"10:47:01",-47
"10:47:01",-47
"10:47:02",-47
"10:47:02",-46
"10:47:02",-47
"10:47:02",-47
"10:47:02",-46
"10:47:02",-47
"10:47:02",-47
"10:47:02",-46
"10:47:02",-47
"10:47:03",-48
"10:47:03",-46
"10:47:03",-46
"10:47:03",-46
"10:47:03",-46
"10:47:03",-48
"10:47:03",-47
"10:47:03",-47
"10:47:03",-47
"10:47:04",-47
"10:47:04",-47
"10:47:04",-46
"10:47:04",-43
"10:47:08",-48
"10:47:26",-43
"10:47:39",-47
"10:48:07",-48
"10:48:07",-48
"10:48:08",-47
"10:48:08",-45
"10:48:09",-47
"10:48:09",-47
"10:48:09",-46
"10:48:09",-47
"10:48:09",-47
"10:48:09",-46
"10:48:09",-47
"10:48:09",-47
"10:48:10",-47
"10:48:10",-46
"10:48:10",-46
"10:48:10",-47
"10:48:10",-46
"10:48:10",-46
"10:48:10",-47
"10:48:10",-47
"10:48:10",-48
"10:48:11",-47
"10:48:11",-47
"10:48:11",-47
"10:48:11",-47
"10:48:11",-47
"10:48:11",-47
"10:48:11",-46
"10:48:11",-46
"10:48:11",-47
"10:48:12",-47
"10:48:12",-46
"10:48:12",-47
"10:48:12",-46
"10:48:12",-46
"10:48:12",-48
"10:48:12",-47
"10:48:12",-48
"10:48:13",-47
"10:48:13",-46
"10:48:13",-46
"10:48:13",-46
"10:48:13",-47
"10:48:13",-47
"10:48:13",-47
"10:48:13",-47
"10:48:13",-48
"10:48:13",-48
"10:48:14",-47
"10:48:14",-47
"10:48:14",-48
"10:48:14",-46
"10:48:14",-46
"10:48:14",-46
"10:48:14",-47
"10:48:14",-47
