"timestamp","rx","rssi","02"
"11:22:55",-64,-18,"02"
"11:22:55",-63,-18,"02"
"11:22:55",-62,-18,"02"
"11:22:55",-61,-18,"02"
"11:22:55",-66,-18,"02"
"11:22:55",-75,-18,"02"
"11:22:55",-67,-18,"02"
"11:22:56",-67,-10,"02"
"11:22:56",-63,-10,"02"
"11:22:58",-66,-11,"02"
"11:22:58",-67,-11,"02"
"11:22:59",-66,-12,"02"
"11:22:59",-67,-12,"02"
"11:22:59",-69,-12,"02"
"11:22:59",-73,-12,"02"
"11:22:59",-68,-12,"02"
"11:22:59",-64,-12,"02"
"11:23:00",-66,-14,"02"
"11:23:00",-67,-14,"02"
"11:23:00",-72,-14,"02"
"11:23:00",-68,-14,"02"
"11:23:00",-69,-14,"02"
"11:23:01",-67,-14,"02"
"11:23:01",-66,-14,"02"
"11:23:01",-68,-14,"02"
"11:23:01",-69,-14,"02"
"11:23:01",-64,-14,"02"
"11:23:03",-67,-11,"02"
"11:23:03",-66,-11,"02"
"11:23:03",-68,-11,"02"
"11:23:03",-72,-11,"02"
"11:23:03",-65,-11,"02"
"11:23:04",-67,-9,"02"
"11:23:04",-68,-9,"02"
"11:23:04",-66,-9,"02"
"11:23:04",-69,-9,"02"
"11:23:05",-67,-11,"02"
"11:23:05",-68,-11,"02"
"11:23:05",-69,-11,"02"
"11:23:05",-66,-11,"02"
"11:23:06",-67,-21,"02"
"11:23:06",-66,-21,"02"
"11:23:06",-68,-21,"02"
"11:23:07",-67,-14,"02"
"11:23:07",-83,-14,"02"
"11:23:07",-66,-14,"02"
"11:23:07",-68,-14,"02"
"11:23:08",-67,-19,"02"
"11:23:08",-68,-19,"02"
"11:23:08",-66,-19,"02"
"11:23:10",-67,-19,"02"
"11:23:10",-66,-19,"02"
"11:23:10",-74,-19,"02"
"11:23:10",-68,-19,"02"
"11:23:11",-66,-16,"02"
"11:23:11",-67,-16,"02"
"11:23:11",-68,-16,"02"
"11:23:12",-66,-18,"02"
"11:23:12",-67,-18,"02"
"11:23:12",-68,-18,"02"
"11:23:13",-67,-18,"02"
"11:23:13",-66,-18,"02"
"11:23:14",-67,-18,"02"
"11:23:14",-66,-18,"02"
"11:23:14",-68,-18,"02"
"11:23:16",-67,-18,"02"
"11:23:16",-66,-18,"02"
"11:23:16",-68,-18,"02"
"11:23:16",-73,-18,"02"
"11:23:17",-67,-21,"02"
"11:23:17",-68,-21,"02"
"11:23:17",-73,-21,"02"
"11:23:18",-68,-21,"02"
"11:23:18",-67,-21,"02"
"11:23:18",-77,-21,"02"
"11:23:19",-68,-17,"02"
"11:23:19",-74,-17,"02"
"11:23:19",-67,-17,"02"
"11:23:19",-75,-17,"02"
"11:23:19",-69,-17,"02"
"11:23:19",-66,-17,"02"
"11:23:21",-65,-17,"02"
"11:23:21",-66,-17,"02"
"11:23:21",-67,-17,"02"
"11:23:21",-68,-17,"02"
"11:23:22",-66,-16,"02"
"11:23:22",-67,-16,"02"
"11:23:22",-78,-16,"02"
"11:23:22",-68,-16,"02"
"11:23:22",-69,-16,"02"
"11:23:23",-68,-19,"02"
"11:23:23",-67,-19,"02"
"11:23:23",-69,-19,"02"
"11:23:25",-68,-18,"02"
"11:23:25",-67,-18,"02"
"11:23:25",-65,-18,"02"
"11:23:26",-67,-19,"02"
"11:23:26",-68,-19,"02"
"11:23:28",-67,-16,"02"
"11:23:28",-66,-16,"02"
"11:23:28",-68,-16,"02"
"11:23:28",-69,-16,"02"
"11:23:28",-70,-16,"02"
"11:23:28",-71,-16,"02"
"11:23:29",-67,-16,"02"
"11:23:29",-66,-16,"02"
"11:23:29",-68,-16,"02"
"11:23:29",-69,-16,"02"
"11:23:30",-67,-14,"02"
"11:23:30",-66,-14,"02"
"11:23:30",-68,-14,"02"
"11:23:30",-74,-14,"02"
"11:23:31",-67,-22,"02"
"11:23:31",-68,-22,"02"
"11:23:31",-69,-22,"02"
"11:23:31",-66,-22,"02"
"11:23:31",-74,-22,"02"
"11:23:32",-66,-15,"02"
"11:23:32",-67,-15,"02"
"11:23:32",-68,-15,"02"
"11:23:34",-67,-21,"02"
"11:23:34",-66,-21,"02"
"11:23:34",-69,-21,"02"
"11:23:34",-72,-21,"02"
"11:23:35",-67,-21,"02"
"11:23:35",-64,-21,"02"
"11:23:35",-66,-21,"02"
"11:23:36",-67,-20,"02"
"11:23:36",-66,-20,"02"
"11:24:23",-66,-6,"02"
"11:24:23",-64,-6,"02"
"11:24:23",-65,-6,"02"
"11:24:23",-63,-6,"02"
"11:24:23",-67,-6,"02"
"11:24:23",-74,-6,"02"
"11:24:38",-64,-9,"02"
"11:24:38",-67,-9,"02"
