"AVG(b.rssi)","AVG(w.rx)","distance"
0.0000,-51.5707,"01"
-1.5084,-55.9933,"02"
-6.4814,-57.2094,"03"
-4.3980,-66.6385,"04"
-3.9845,-66.6656,"05"
NULL,NULL,"07"
NULL,NULL,"08"
NULL,NULL,"09"
NULL,NULL,10
