"rssi","rx","distance"
0.0001,-52.1605,"01"
-2.7317,-57.0549,"02"
-14.2182,-62.1415,"03"
-12.3256,-64.7818,"04"
-9.4598,-67.3793,"05"
NULL,NULL,"07"
-26.0000,-78.0000,"08"
-22.0000,-88.0000,"09"
NULL,NULL,10
