"mac_address",rasp,rx,"timestamp",sn
"84:11:9E:FD:16:B3",1,-58,"09:17:14.592",3983
"84:11:9E:FD:16:B3",1,-61,"09:17:44.593",3984
"84:11:9E:FD:16:B3",1,-63,"09:17:48.404",3986
"84:11:9E:FD:16:B3",1,-60,"09:17:50.975",3987
"84:11:9E:FD:16:B3",1,-61,"09:17:51.185",3988
"84:11:9E:FD:16:B3",1,-62,"09:18:14.593",3989
"84:11:9E:FD:16:B3",1,-61,"09:18:44.605",3990
"84:11:9E:FD:16:B3",1,-56,"09:18:47.177",3991
"84:11:9E:FD:16:B3",1,-56,"09:18:47.388",3992
"84:11:9E:FD:16:B3",1,-57,"09:18:51.802",3993
"84:11:9E:FD:16:B3",1,-55,"09:18:52.003",3994
"84:11:9E:FD:16:B3",1,-60,"09:19:14.205",3999
"84:11:9E:FD:16:B3",1,-60,"09:19:14.246",4002
"84:11:9E:FD:16:B3",1,-60,"09:19:14.330",4007
"84:11:9E:FD:16:B3",1,-60,"09:19:14.379",4008
"84:11:9E:FD:16:B3",1,-60,"09:19:14.463",4013
"84:11:9E:FD:16:B3",1,-61,"09:19:14.507",4014
"84:11:9E:FD:16:B3",1,-60,"09:19:14.596",4020
"84:11:9E:FD:16:B3",1,-61,"09:19:14.638",4021
"84:11:9E:FD:16:B3",1,-61,"09:19:14.726",4026
"84:11:9E:FD:16:B3",1,-60,"09:19:14.770",4027
"84:11:9E:FD:16:B3",1,-60,"09:19:14.854",4032
"84:11:9E:FD:16:B3",1,-61,"09:19:14.898",4033
"84:11:9E:FD:16:B3",1,-61,"09:19:14.993",4038
"84:11:9E:FD:16:B3",1,-60,"09:19:15.124",4043
"84:11:9E:FD:16:B3",1,-59,"09:19:15.170",4044
"84:11:9E:FD:16:B3",1,-58,"09:19:15.257",4049
"84:11:9E:FD:16:B3",1,-59,"09:19:15.306",4050
"84:11:9E:FD:16:B3",1,-60,"09:19:15.393",4055
"84:11:9E:FD:16:B3",1,-59,"09:19:15.437",4056
"84:11:9E:FD:16:B3",1,-58,"09:19:15.525",4061
"84:11:9E:FD:16:B3",1,-57,"09:19:15.568",4062
"84:11:9E:FD:16:B3",1,-59,"09:19:15.703",4063
"84:11:9E:FD:16:B3",1,-58,"09:19:15.748",4064
"84:11:9E:FD:16:B3",1,-58,"09:19:15.883",4066
"84:11:9E:FD:16:B3",1,-59,"09:19:15.929",4067
"84:11:9E:FD:16:B3",1,-59,"09:19:16.062",4068
"84:11:9E:FD:16:B3",1,-58,"09:19:16.114",4069
"84:11:9E:FD:16:B3",1,-59,"09:19:16.244",4070
